rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;Nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE (voir documentation);A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique;Identifiant de la région;Identifiant de l'académie;Identifiant du département;Identifiant de l'unité urbaine
2018;2018-19;Commune;Bourg-en-Bresse;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;671;671;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;01053;R84;A10;D001;UU01501
2018;2018-19;Commune;Misérieux;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;22;22;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;01250;R84;A10;D001;UU00758
2018;2018-19;Commune;Montluel;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;18;18;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;01262;R84;A10;D001;UU00758
2018;2018-19;Commune;Montluel;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;9;9;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;01262;R84;A10;D001;UU00758
2018;2018-19;Commune;Oyonnax;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;9;9;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;01283;R84;A10;D001;UU01401
2018;2018-19;Commune;Saint-Genis-Pouilly;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;18;18;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;01354;R84;A10;D001;UU00652
2018;2018-19;Commune;Château-Thierry;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;44;44;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;02168;R32;A20;D002;UU02401
2018;2018-19;Commune;Crézancy;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;31;31;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;02239;R32;A20;D002;CR02239
2018;2018-19;Commune;Cuffies;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;206;206;oui;149;non;;oui;Données diffusables;non;Autres données;COMMUNE;02245;R32;A20;D002;UU02404
2018;2018-19;Commune;Hirson;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;58;58;non;;non;;oui;Données diffusables;non;Autres données;COMMUNE;02381;R32;A20;D002;UU02302
2018;2018-19;Commune;Saint-Quentin;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;760;760;oui;41;non;;oui;Données diffusables;non;Autres données;COMMUNE;02691;R32;A20;D002;UU02501
