Exercice;Outre-mer;Code Insee 2020 Région;Nom 2020 Région;Code Insee 2020 Département;Nom 2020 Département;Strate population 2020;Nature juridique 2020 abrégée;Mode de financement 2020 abrégé;Tranche revenu par habitant;Présence QPV;Code Siren 2020 EPCI;Nom 2020 EPCI;Catégorie;Code Siren Collectivité;Libellé Budget;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;Compte 2019 disponible;agregat_niveau;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;Remarque;ordre_affichage
2019;Non;11;Île-de-France;93;Seine-Saint-Denis;5;EPT;CF;0;Oui;200057867;Plaine Commune;EPT;200057867;PLAINE COMMUNE T6;Dépenses totales;345661120.86;345.66112086000004;437806;789.5303418865891;1;1;;1;;;;;;;;;NA;
2019;Non;11;Île-de-France;93;Seine-Saint-Denis;5;EPT;CF;1;Oui;200057875;Est Ensemble;EPT;200057875;EST ENSEMBLE T8;Dépenses totales;174436528.08;174.43652808000002;418239;417.07379770896546;1;1;;1;;;;;;;;;NA;
2019;Non;11;Île-de-France;94;Val-de-Marne;5;EPT;CF;3;Oui;200057941;Paris-Est-Marne et Bois;EPT;200057941;PARIS-EST-MARNE ET BOIS;Dépenses totales;119469916.03;119.46991603000001;513459;232.6766422051225;1;1;;1;;;;;;;;;NA;
2019;Non;11;Île-de-France;92;Hauts-de-Seine;5;EPT;CF;3;Oui;200057966;Vallée Sud Grand Paris;EPT;200057966;VALLEE SUD-GRAND PARIS;Dépenses totales;185415647.99;185.41564799;400617;462.8252120853584;1;1;;1;;;;;;;;;NA;
2019;Non;11;Île-de-France;92;Hauts-de-Seine;5;EPT;CF;4;Non;200057974;Grand Paris Seine Ouest;EPT;200057974;GPSO;Dépenses totales;194739278.94;194.73927894;322723;603.4254730527418;1;1;;1;;;;;;;;;NA;
2019;Non;11;Île-de-France;92;Hauts-de-Seine;5;EPT;CF;4;Oui;200057982;Paris Ouest La Défense;EPT;200057982;PARIS OUEST LA DEFENSE;Dépenses totales;93653662.65;93.65366265;565408;165.63908301615825;1;1;;1;;;;;;;;;NA;
2019;Non;11;Île-de-France;92;Hauts-de-Seine;5;EPT;CF;2;Oui;200057990;Boucle Nord de Seine;EPT;200057990;BOUCLE NORD DE SEINE;Dépenses totales;72959266.53;72.95926653000001;445459;163.78447069202778;1;1;;1;;;;;;;;;NA;
2019;Non;11;Île-de-France;94;Val-de-Marne;5;EPT;CF;2;Oui;200058006;Grand Paris Sud Est Avenir;EPT;200058006;GRAND PARIS SUD EST AVENIR;Dépenses totales;182983454.88;182.98345487999998;313538;583.6085414846048;1;1;;1;;;;;;;;;NA;
2019;Non;11;Île-de-France;94;Val-de-Marne;5;EPT;CF;1;Oui;200058014;Grand-Orly Seine Bièvre;EPT;200058014;GRAND-ORLY SEINE BIEVRE;Dépenses totales;285960076.71;285.96007670999995;701702;407.5235309433349;1;1;;1;;;;;;;;;NA;
2019;Non;11;Île-de-France;93;Seine-Saint-Denis;5;EPT;CF;1;Oui;200058097;Paris Terres d'Envol;EPT;200058097;PARIS TERRES D'ENVOL T7;Dépenses totales;94164672.75;94.16467275;363258;259.22257114777926;1;1;;1;;;;;;;;;NA;
