Exercice;Outre-mer;CTU ou Collectivité de Corse;Code Insee 2020 Région;Nom 2020 Région;Catégorie;Code Siren Collectivité;Libellé Budget;Agrégat;Montant;Montant en millions;Population totale;Montant en € par habitant;agregat_niveau;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join
2019;Non;Non;53;Bretagne;REG;233500016;REG BRETAGNE;Dépenses totales;1546842992.24;1546.84299224;3404015;454.4172079852762;1;;1;;;;;;;;;2019
2019;Non;Non;11;Île-de-France;REG;237500079;REG ILE-DE-FRANCE;Dépenses totales;4762428759.0;4762.428759;12258425;388.50250003568976;1;;1;;;;;;;;;2019
2019;Oui;Oui;03;Guyane;CTU;200052678;CTU COLLECTIVITE TERRITORIALE GUYANE;Dépenses totales;482053642.18;482.05364218;271829;1773.3709139937241;1;;1;;;;;;;;;2019
2019;Non;Oui;94;Corse;CTU;200076958;CTU COLLECTIVITE DE CORSE;Dépenses totales;1207172310.44;1207.17231044;335995;3592.8281981577106;1;;1;;;;;;;;;2019
2019;Non;Non;28;Normandie;REG;200053403;REG NORMANDIE;Dépenses totales;1990169169.62;1990.1691696199998;3420995;581.7515575497772;1;;1;;;;;;;;;2019
2019;Oui;Oui;02;Martinique;CTU;200055507;CTU COLL TERRITORIALE MARTINIQUE;Dépenses totales;1084004599.21;1084.0045992100002;382294;2835.5260590278685;1;;1;;;;;;;;;2019
2019;Non;Non;76;Occitanie;REG;200053791;REG OCCITANIE;Dépenses totales;3145175031.34;3145.1750313400003;5944715;529.0707849476383;1;;1;;;;;;;;;2019
2019;Non;Non;24;Centre-Val de Loire;REG;234500023;REG CENTRE-VAL DE LOIRE;Dépenses totales;1380962581.29;1380.96258129;2645792;521.9467672780022;1;;1;;;;;;;;;2019
2019;Non;Non;27;Bourgogne-Franche-Comté;REG;200053726;REGION BOURGOGNE FRANCHE COMTE;Dépenses totales;1487502629.69;1487.50262969;2900558;512.8332650786504;1;;1;;;;;;;;;2019
2019;Non;Non;84;Auvergne-Rhône-Alpes;REG;200053767;REG AUVERGNE-RHONE-ALPES;Dépenses totales;3917348359.36;3917.3483593600004;8104357;483.36325255168305;1;;1;;;;;;;;;2019
2019;Non;Non;32;Hauts-de-France;REG;200053742;REG HAUTS DE FRANCE;Dépenses totales;3294222224.4;3294.2222244;6110588;539.1006928302154;1;;1;;;;;;;;;2019
2019;Non;Non;75;Nouvelle-Aquitaine;REG;200053759;REG NOUVELLE AQUITAINE;Dépenses totales;3022475476.73;3022.47547673;6092505;496.0973321696084;1;;1;;;;;;;;;2019
2019;Oui;Non;01;Guadeloupe;REG;239710015;REG GUADELOUPE;Dépenses totales;482287039.91;482.28703991000003;400170;1205.2053874853189;1;;1;;;;;;;;;2019
2019;Oui;Non;04;La Réunion;REG;239740012;REG REUNION;Dépenses totales;999307383.23;999.30738323;862814;1158.1956055766366;1;;1;;;;;;;;;2019
2019;Non;Non;52;Pays de la Loire;REG;234400034;REG PAYS-DE-LA-LOIRE;Dépenses totales;1774207286.46;1774.20728646;3838856;462.17083591049;1;;1;;;;;;;;;2019
2019;Non;Non;44;Grand Est;REG;200052264;REG GRAND-EST;Dépenses totales;2968972001.36;2968.97200136;5674357;523.2261560842929;1;;1;;;;;;;;;2019
2019;Non;Non;93;Provence-Alpes-Côte d'Azur;REG;231300021;REG PROVENCE-ALPES-COTE-D'AZUR;Dépenses totales;2192146170.69;2192.14617069;5103573;429.5316576621908;1;;1;;;;;;;;;2019
