nom,nom_minimise,COG,SIREN,code_region,code_departement
L'Abergement-Clémenciat,ABERGEMENT-CLEMENCIAT (L'),01001,210100012,84,01
L'Abergement-de-Varey,ABERGEMENT-DE-VAREY (L'),01002,210100020,84,01
Ambérieu-en-Bugey,AMBERIEU-EN-BUGEY,01004,210100046,84,01
Ambérieux-en-Dombes,AMBERIEUX-EN-DOMBES,01005,210100053,84,01
Ambléon,AMBLEON,01006,210100061,84,01
Ambronay,AMBRONAY,01007,210100079,84,01
Ambutrix,AMBUTRIX,01008,210100087,84,01
Andert-et-Condon,ANDERT CONDON,01009,210100095,84,01
Anglefort,ANGLEFORT,01010,210100103,84,01
Apremont,APREMONT,01011,210100111,84,01
Aranc,ARANC,01012,210100129,84,01
Arandas,ARANDAS,01013,210100137,84,01
Arbent,ARBENT,01014,210100145,84,01
Arboys en Bugey,ARBOYS EN BUGEY,01015,200053668,84,01
Arbigny,ARBIGNY,01016,210100160,84,01
Argis,ARGIS,01017,210100178,84,01
Armix,ARMIX,01019,210100194,84,01
Ars-sur-Formans,ARS-SUR-FORMANS,01021,210100210,84,01
Artemare,ARTEMARE,01022,210100228,84,01
Asnières-sur-Saône,ASNIERES-SUR-SAONE,01023,210100236,84,01
Attignat,ATTIGNAT,01024,210100244,84,01
Bâgé-Dommartin,BAGE-DOMMARTIN,01025,200077220,84,01
Bâgé-le-Châtel,BAGE-LE-CHATEL,01026,210100269,84,01
Balan,BALAN,01027,210100277,84,01
Baneins,BANEINS,01028,210100285,84,01
Beaupont,BEAUPONT,01029,210100293,84,01
Beauregard,BEAUREGARD,01030,210100301,84,01
Bellignat,BELLIGNAT,01031,210100319,84,01
Béligneux,BELIGNEUX,01032,210100327,84,01
Valserhône,VALSERHONE,01033,200083863,84,01
Belley,BELLEY,01034,210100343,84,01
Belleydoux,BELLEYDOUX,01035,210100350,84,01
Valromey-sur-Séran,VALROMEY SUR SERAN,01036,200086411,84,01
Bénonces,BENONCES,01037,210100376,84,01
Bény,BENY,01038,210100384,84,01
Béon,BEON,01039,210100392,84,01
Béréziat,BEREZIAT,01040,210100400,84,01
Bettant,BETTANT,01041,210100418,84,01
Bey,BEY,01042,210100426,84,01
Beynost,BEYNOST,01043,210100434,84,01
Billiat,BILLIAT,01044,210100442,84,01
Birieux,BIRIEUX,01045,210100459,84,01
Biziat,BIZIAT,01046,210100467,84,01
Blyes,BLYES,01047,210100475,84,01
La Boisse,BOISSE (LA ),01049,210100491,84,01
Boissey,BOISSEY,01050,210100509,84,01
Bolozon,BOLOZON,01051,210100517,84,01
Bouligneux,BOULIGNEUX,01052,210100525,84,01
Bourg-en-Bresse,BOURG EN BRESSE,01053,210100533,84,01
Bourg-Saint-Christophe,BOURG-SAINT-CHRISTOPHE,01054,210100541,84,01
Boyeux-Saint-Jérôme,BOYEUX-SAINT-JEROME,01056,210100566,84,01
Boz,BOZ,01057,210100574,84,01
Brégnier-Cordon,BREGNIER-CORDON,01058,210100582,84,01
Brénod,BRENOD,01060,210100608,84,01
Brens,BRENS,01061,210100616,84,01
Bressolles,BRESSOLLES,01062,210100624,84,01
Brion,BRION,01063,210100632,84,01
Briord,BRIORD,01064,210100640,84,01
Buellas,BUELLAS,01065,210100657,84,01
La Burbanche,BURBANCHE (LA ),01066,210100665,84,01
