Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
01001;L'Abergement-Clémenciat;18.8;11;null;5.6
01002;L'Abergement-de-Varey;18.1;3;null;9.1
01004;Ambérieu-en-Bugey;16.7;176;null;6.3
01005;Ambérieux-en-Dombes;15.5;23;null;4.8
01006;Ambléon;23.6;0;null;3.2
01007;Ambronay;16.2;30;null;7.3
01008;Ambutrix;13.5;6;null;6.8
01009;Andert-et-Condon;27.5;2;null;8.5
01010;Anglefort;15.9;8;null;3.5
01011;Apremont;17.3;3;null;6
01012;Aranc;26.1;2;null;4.1
01013;Arandas;20.1;0;null;1.9
01014;Arbent;20.1;34;null;3.3
01015;Arboys en Bugey;25.2;3;null;7.2
01016;Arbigny;18.6;5;null;2.2
01017;Argis;21.4;1;null;3.1
01019;Armix;25;1;null;0
01021;Ars-sur-Formans;15.9;15;null;7.7
01022;Artemare;23.3;8;null;2.6
01023;Asnières-sur-Saône;18.4;0;null;7.1
01024;Attignat;16.1;24;null;4.4
01025;Bâgé-Dommartin;16.2;25;null;5.2
01026;Bâgé-le-Châtel;25.6;2;null;4.1
01027;Balan;8.6;27;null;5
01028;Baneins;13.8;6;null;4.5
01029;Beaupont;17.4;6;null;2.1
01030;Beauregard;15.2;13;null;7.2
01031;Bellignat;16.9;35;null;3.5
01032;Béligneux;13.5;29;null;7.2
01033;Valserhône;16.3;150;null;5.5
01034;Belley;22.7;92;null;5.5
01035;Belleydoux;15.6;0;null;8.5
01036;Valromey-sur-Séran;25.7;7;null;6.7
01037;Bénonces;22.1;2;null;5.8
01038;Bény;18.5;5;null;4.1
01039;Béon;18.5;7;null;4.7
01040;Béréziat;12.6;2;null;1.5
01041;Bettant;17.2;3;null;5.5
01042;Bey;16.3;3;null;4.5
01043;Beynost;18.1;77;null;17.1
01044;Billiat;15.3;4;null;5.3
01045;Birieux;13.5;3;null;9
01046;Biziat;13.7;8;null;3.5
01047;Blyes;11.2;21;null;8.2
01049;La Boisse;16.2;34;null;8.7
01050;Boissey;14.2;1;null;3
01051;Bolozon;30.3;3;null;0
01052;Bouligneux;23.8;2;null;9.5
01053;Bourg-en-Bresse;22.1;574;01289;7.4
01054;Bourg-Saint-Christophe;11.9;15;null;12.1
01056;Boyeux-Saint-Jérôme;21.7;2;null;5.5
01057;Boz;14.7;7;null;1.9
01058;Brégnier-Cordon;18.1;12;null;4.5
01060;Brénod;25.3;7;null;5.3
01061;Brens;14;17;null;5.8
01062;Bressolles;15.4;13;null;13.3
01063;Brion;24.2;6;null;4.9
01064;Briord;11.1;6;null;1.2
01065;Buellas;19.8;11;null;9.1
01066;La Burbanche;16.9;3;null;7.7
01067;Ceignes;9.4;3;null;7.7
01068;Cerdon;21.2;14;null;5
01069;Certines;13.9;18;null;7
01071;Cessy;8.7;53;null;20.2
01072;Ceyzériat;20.4;22;null;10.6
01073;Ceyzérieu;24.1;11;null;9.2
01074;Chalamont;18.9;20;null;4.7
01075;Chaleins;10.5;19;null;4
01076;Chaley;33.1;0;null;6.2
01077;Challes-la-Montagne;19.2;0;null;3.4
01078;Challex;16;7;null;17.1
01079;Champagne-en-Valromey;31.9;5;null;5.7
01080;Champdor-Corcelles;20.7;1;null;3.9
01081;Champfromier;19.9;6;null;4.1
01082;Chanay;12.5;3;null;8.2
01083;Chaneins;13.4;11;null;4.8
01084;Chanoz-Châtenay;13.7;5;null;5.2
01085;La Chapelle-du-Châtelard;14.6;4;null;4.3
01087;Charix;20.4;6;null;6.8
01088;Charnoz-sur-Ain;11.5;10;null;9.8
01089;Château-Gaillard;12.6;22;null;5.3
01090;Châtenay;22.2;3;null;7.6
01092;Châtillon-la-Palud;17.1;22;null;6.5
01093;Châtillon-sur-Chalaronne;27.2;61;null;4.9
01094;Chavannes-sur-Reyssouze;20.1;3;null;3
01095;Nivigne et Suran;15.8;5;null;6.4
01096;Chaveyriat;14.6;7;null;3
01098;Chazey-Bons;19.7;9;null;3.6
01099;Chazey-sur-Ain;14.6;13;null;7.7
01100;Cheignieu-la-Balme;36.6;5;null;2.7
01101;Chevillard;15.4;0;null;5.8
01102;Chevroux;13.4;9;null;2.4
01103;Chevry;8.6;10;null;21
01104;Chézery-Forens;17.8;3;null;5.6
01105;Civrieux;12.4;30;null;11.7
01106;Cize;22.3;0;null;3
01107;Cleyzieu;22.2;3;null;7.6
01108;Coligny;31.1;14;null;4.2
01109;Collonges;9.4;20;null;12.1
01110;Colomieu;21.2;0;null;7.3
01111;Conand;21.2;3;null;5.1
01112;Condamine;9.3;3;null;4.9
01113;Condeissiat;16.3;2;null;6.1
01114;Confort;25.2;7;null;6.4
01115;Confrançon;13;12;null;3.1
01116;Contrevoz;24.7;3;null;3.7
01117;Conzieu;16.6;1;null;7.8
01118;Corbonod;20.2;13;null;4.5
01121;Corlier;13.8;2;null;5.7
01123;Cormoranche-sur-Saône;18.9;5;null;4.6
01124;Cormoz;22.7;8;null;2.4
01125;Corveissiat;17.3;8;null;4.6
01127;Courmangoux;25;4;null;4.7
01128;Courtes;17.9;4;null;2.8
01129;Crans;21.9;4;null;6.2
01130;Bresse Vallons;12.8;17;null;4.3
01133;Cressin-Rochefort;16.6;4;null;4.6
01134;Crottet;18;17;null;4.7
01135;Crozet;11.2;19;null;23.9
01136;Cruzilles-lès-Mépillat;15.9;9;null;3.6
01138;Culoz;19.6;28;null;3.4
01139;Curciat-Dongalon;26.8;0;null;1.2
01140;Curtafond;22.1;8;null;2.8
01141;Cuzieu;21.9;4;null;4.3
01142;Dagneux;13.3;50;null;8.2
01143;Divonne-les-Bains;15.4;100;null;27.2
01145;Dompierre-sur-Veyle;17.1;16;null;5.6
01146;Dompierre-sur-Chalaronne;11.4;3;null;6.7
01147;Domsure;21.2;3;null;3
01148;Dortan;17.3;9;null;3.8
01149;Douvres;14.2;8;null;9.2
01150;Drom;13.1;2;null;8.1
01151;Druillat;23.1;13;null;4.3
