Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Médiane du niveau de vie 2018;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
200000172;CC Faucigny-Glières;14.2;280;200033116;25420;7.1
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;17.9;217;244400644;21500;3.1
200000545;CC des Portes de Romilly-sur-Seine;23.1;134;null;17940;2.9
200000628;CC Rhône Lez Provence;21.4;261;200042901;19440;3.7
200000800;CC Cœur de Sologne;25;52;null;21380;4.9
200000925;CC de la Plaine Dijonnaise;14.9;138;242100410;23600;5.1
200000933;CC Sauldre et Sologne;28.6;80;null;20750;3.9
200004802;CC du Pays de Fayence;24.6;550;null;22710;8.7
200005932;CC des Portes de Sologne;19.6;126;244500468;24090;8.6
200005957;CC de la Région de Rambervillers;20.8;68;null;19280;2.3
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;22.2;511;247100589;22760;6.6
200006716;CC du Nogentais;19.5;93;null;20690;4.3
200006930;CC du Haut-Allier;28.1;39;null;19620;3.8
200006971;CC du Perche;28;120;null;20700;4.1
200007052;CC de la Marche Berrichonne;36.5;40;null;18520;3
200007177;CC Pays de Nérondes;26.8;35;null;19790;3.3
200010650;CA du Grand Dole;22.4;429;242500361;21270;5.5
200010700;CA Caux Seine Agglo;18.2;432;200084952;21330;3.8
200011773;CA Annemasse-les Voirons-Agglomération;14.2;1305;200067551;26140;9.6
200011781;CC Portes du Berry entre Loire et Val d'Aubois;25;64;null;20560;3.3
200013050;CC Sauer-Pechelbronn;20.3;114;null;23580;3.9
200015162;CC de l'Oriente;28.2;75;null;17840;8.6
200016905;CC du Pays de Lamastre;28;60;null;18830;4.6
200017341;CC Lodévois et Larzac;24.6;175;null;17930;6.4
200017846;CA Étampois Sud-Essonne;15.4;606;200054781;22280;6.3
200018083;CC de Desvres-Samer;17.3;133;246200729;20200;3.7
200018166;CC Le Grésivaudan;18;1222;200040715;26550;19.1
200018406;CC du Romorantinais et du Monestois;25.4;232;null;20540;3.6
200018521;CC du Val de Bouzanne;25.7;31;null;20060;2.7
200018653;CA Cap Excellence;15.7;1728;249710062;N/A;6.3
200022986;CC du Grand Pic Saint-Loup;19.9;742;243400017;26150;18.9
200023075;CC du Pays de Maîche;18.5;113;null;27070;3.3
200023125;CC Les Portes Briardes entre Villes et Forêts;15.2;605;200054781;25880;9.1
