Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par région; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Flux principal de migration résidentielle 2017;Taux de chômage annuel moyen 2020;Produit intérieur brut par habitant 2018;Part de l'agriculture dans la VA 2018;Part de l'industrie dans la VA 2018;Part du tertiaire marchand dans la VA 2018;Part du tertiaire non marchand dans la VA 2018;Part des pers. âgées de 65 ans ou + 2017;Médiane du niveau de vie 2018;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017;Nb créations d'entreprises 2020;Nb de nuitées dans les hôtels de tourisme 2019
01;Guadeloupe;11;17.4;22427;1.5;9.3;45.4;39.4;17.9;N/A;5.4;5336;1216
02;Martinique;11;12.4;24110;2.1;7.6;47.9;38.4;19.8;17880;6.5;3786;1318
03;Guyane;11;16.1;14879;4.6;9.8;44.4;35.8;5.3;N/A;5.7;1856;453
04;La Réunion;76;17.3;22359;1.9;6.2;50.3;35.7;11.1;15440;5.4;8278;1532
06;Mayotte;null;N/A;9251;3.5;6.4;32.3;53.3;N/A;N/A;N/A;1352;100
11;Île-de-France;75;7.3;59387;0.1;8.4;71.9;15.4;14.7;23860;19.9;251781;70736
24;Centre-Val de Loire;11;7.4;28927;3.7;18.2;47.8;24.1;21.8;21560;6.7;22158;6090
27;Bourgogne-Franche-Comté;84;6.9;28009;4.5;17.7;46.2;25.9;22.3;21480;6.3;24208;7154
28;Normandie;11;7.9;28651;2.8;20.4;44.7;25.8;20.6;21200;6.3;28531;8279
32;Hauts-de-France;11;9.6;27823;2.4;16.4;47.7;27.8;17.3;20110;6.7;51438;9164
44;Grand Est;11;7.7;29091;3.8;18.9;46;25.2;19.4;21610;7.1;47594;14439
52;Pays de la Loire;53;7;31106;2.6;17.7;51.1;21.8;20;21620;7.5;34826;7391
53;Bretagne;52;6.7;29694;3.5;14.8;50.7;24.5;21.6;21750;8;28214;8043
75;Nouvelle-Aquitaine;76;7.4;29569;4.2;13.8;49.5;26.3;23.2;21290;7.6;69268;16175
76;Occitanie;75;9.3;29487;2.2;14;51.3;26.4;22;20740;9.6;78045;16390
84;Auvergne-Rhône-Alpes;11;7;34117;1;18.2;52.7;21.5;19.4;22480;10;103528;24149
93;Provence-Alpes-Côte d'Azur;76;9.1;32997;1.7;11;56.1;25.3;22.5;21350;10.1;83274;23425
94;Corse;93;8;27780;1.2;6.5;50.8;31.9;23;20670;7.5;4691;3203
