siren,nom,chef de l'exécutif,parti politique,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode
243300316,Bordeaux Métropole,Alain Juppé,Union pour un mouvement populaire,MET,NAQ-75,https://opendata.bordeaux-metropole.fr/explore/?disjunctive.publisher&disjunctive.frequence&disjunctive.territoire&sort=title&refine.publisher=Bordeaux+Métropole,187.0,https://www.data.gouv.fr/fr/organizations/5b0d11f688ee382af4b18c95/,73.0,5b0d11f688ee382af4b18c95,Bordeaux Métropole,749595.0,,,ptf+datagouv,33
,,,Rassemblement pour la République,,,,,,,,,,,,,
,,,Les Républicains,,,,,,,,,,,,,
2.42900314E8,Brest Métropole,François Cuillandre,Parti socialiste,MET,BRE-53,https://opendata.brest-metropole.fr/explore/?sort=modified&refine.publisher=Brest+métropole,210.0,https://www.data.gouv.fr/fr/organizations/534fff5ba3a7292c64a77d19,5.0,534fff5ba3a7292c64a77d19,,209722.0,48.390528,-4.486009,ptf+datagouv,29.0
246700488,Eurométropole de Strasbourg,Pia Imbs,,MET,GES-44,https://data.strasbourg.eu/explore/?sort=modified&refine.publisher=Eurom%C3%A9tropole+de+Strasbourg,61.0,https://www.data.gouv.fr/fr/organizations/59d2b2dc88ee3826a73899be,14.0,59d2b2dc88ee3826a73899be,Eurométropole de Strasbourg,491409.0,,,ptf+datagouv,67
200040715,Grenoble-Alpes Métropole,Christophe Ferrari,Parti socialiste,MET,ARA-84,http://data.metropolegrenoble.fr/ckan/dataset?organization=grenoble-alpes-metropole,12.0,https://www.data.gouv.fr/fr/organizations/5732ff7788ee382b08d1b934,16.0,5732ff7788ee382b08d1b934,,433000.0,,,ptf+datagouv,38
200054807,Métropole d'Aix-Marseille-Provence,Jean-Claude Gaudin,Union pour un mouvement populaire,MET,PAC-93,https://trouver.datasud.fr/organization/metropole-daix-marseille-provence,17.0,,,,,1895600.0,,,ptf,13
,,,Union pour la démocratie française,,,,,,,,,,,,,
,,,Démocratie libérale,,,,,,,,,,,,,
,,,Parti républicain,,,,,,,,,,,,,
,,,républicains indépendants,,,,,,,,,,,,,
200046977,METROPOLE DE LYON,,,MET,ARA-84,https://data.grandlyon.com/recherche?responsibleParty.organisationName=M%C3%A9tropole%20de%20Lyon,631.0,https://www.data.gouv.fr/fr/organizations/534fff7aa3a7292c64a77e0c,517.0,534fff7aa3a7292c64a77e0c,,1371000.0,,,ptf+datagouv,69
245400676,Métropole du Grand Nancy,André Rossinot,Union pour la démocratie française,MET,GES-44,http://opendata.grandnancy.eu/jeux-de-donnees/rechercher-un-jeu-de-donnees/,50.0,https://www.data.gouv.fr/fr/organizations/534fff65a3a7292c64a77d73,1.0,534fff65a3a7292c64a77d73,,256610.0,,,ptf+datagouv,54
,,,Parti radical,,,,,,,,,,,,,
,,,Union pour un mouvement populaire,,,,,,,,,,,,,
245900410,Métropole européenne de Lille,Damien Castelain,sans étiquette,MET,HDF-32,https://opendata.lillemetropole.fr/explore/?refine.publisher=MEL,162.0,https://www.data.gouv.fr/fr/organizations/58b69c62c751df4b175dd7a4,227.0,58b69c62c751df4b175dd7a4,MEL,1143572.0,,,ptf+datagouv,59
200030195,Métropole Nice Côte d'Azur,Christian Estrosi,Union pour un mouvement populaire,MET,PAC-93,http://opendata.nicecotedazur.org/data/organization/metropole-nice-cote-d-azur,64.0,https://www.data.gouv.fr/fr/organizations/59aea226c751df38f3f6834b/,253.0,59aea226c751df38f3f6834b,,538769.0,,,ptf+datagouv,06
,,,Rassemblement pour la République,,,,,,,,,,,,,
200039865,Metz Métropole,Jean-Luc Bohl,Union des démocrates et indépendants,MET,GES-44,,,https://www.data.gouv.fr/fr/organizations/53fd1263a3a729390ba568a4,54.0,53fd1263a3a729390ba568a4,,222146.0,,,datagouv,57
243400017,Montpellier Méditerranée Métropole,Philippe Saurel,Parti socialiste,MET,OCC-76,http://data.montpellier3m.fr/datasets/commune/montpellier-mediterran%C3%A9e-m%C3%A9tropole,136.0,,,,,465070.0,,,ptf,34
