nom,code_region,code_departement,nb-ptf,nb-datagouv,pop-insee,CSP_chef,age_chef,partis_po_chef,part_plus65,nb_crea_entps,flux_migration_res,part_diplomes,depenses_hab,nb_etudiants,part_etudiants,niveau_rural,densite
L'Abergement-Clémenciat,84,1,,,785,Retraités salariés privés,70,,18.8,11,null,5.6,880.993044585987,,,5,3
L'Abergement-de-Varey,84,1,,,244,Autres retraités,73,,18.1,3,null,9.1,1573.61315573771,,,6,4
Ambérieu-en-Bugey,84,1,,,14518,Cadres (entreprises publiques),59,,16.7,176,null,6.3,1458.89118542499,155,1.1,2,2
Ambérieux-en-Dombes,84,1,,,1705,Professeurs du secondaire et techn.,59,,15.5,23,null,4.8,693.036879765396,,,4,3
Ambléon,84,1,,,116,Retraités fonct.publique (sf enseig.),69,,23.6,0,null,3.2,739.496206896552,,,6,4
Ambronay,84,1,,,2788,Retraités salariés privés,67,,16.2,30,null,7.3,916.351904591105,,,5,3
Ambutrix,84,1,,,763,Agents technique et techniciens,58,,13.5,6,null,6.8,818.076317169069,,,2,2
Andert-et-Condon,84,1,,,344,Retraités des entreprises publiques,70,,27.5,2,null,8.5,929.521831395349,,,5,3
Anglefort,84,1,,,1142,Retr.artis.commerc.chefs d'entrep.,73,,15.9,8,null,3.5,1328.83071803853,,,5,3
Apremont,84,1,,,394,Retraités salariés privés,69,,17.3,3,null,6,1018.25583756345,,,3,3
Aranc,84,1,,,330,Professeurs de faculté,73,,26.1,2,null,4.1,1307.891,,,6,4
Arandas,84,1,,,151,Agriculteurs propriétaires exploit.,50,,20.1,0,null,1.9,4222.03119205298,,,6,4
Arbent,84,1,,,3470,Retraités salariés privés,77,,20.1,34,null,3.3,1716.50431988473,,,2,2
Arboys en Bugey,84,1,,,656,Retraités des entreprises publiques,70,,25.2,3,null,7.2,1211.30480182927,,,6,4
Arbigny,84,1,,,466,Retr.artis.commerc.chefs d'entrep.,72,,18.6,5,null,2.2,635.593669527897,,,4,3
Argis,84,1,,,452,Retraités salariés privés,83,,21.4,1,null,3.1,1448.92057522124,,,5,3
Armix,84,1,,,26,Salariés du secteur médical,56,,25,1,null,0,3291.43307692308,,,6,4
Ars-sur-Formans,84,1,,,1418,Retraités salariés privés,68,,15.9,15,null,7.7,632.943885754584,,,4,3
Artemare,84,1,,,1248,Retraités des professions libérales,69,,23.3,8,null,2.6,1056.93741987179,,,5,3
Asnières-sur-Saône,84,1,,,66,Retraités salariés privés,69,,18.4,0,null,7.1,1140.86045454545,,,3,4
Attignat,84,1,,,3336,Cadres supérieurs (secteur privé),55,divers droite,16.1,24,null,4.4,1417.07199640288,,,3,3
Bâgé-Dommartin,84,1,,,4191,Fonctionnaires de catégorie A,72,,16.2,25,null,5.2,861.713569553806,,,3,3
Bâgé-le-Châtel,84,1,,,971,Retraités salariés privés,75,,25.6,2,null,4.1,962.929546858908,,,3,3
Balan,84,1,,,2920,Agriculteurs propriétaires exploit.,67,,8.6,27,null,5,568.833863013699,,,4,3
Baneins,84,1,,,606,Agriculteurs propriétaires exploit.,57,,13.8,6,null,4.5,1062.36671617162,,,5,3
Beaupont,84,1,,,694,Retr.artis.commerc.chefs d'entrep.,70,divers droite,17.4,6,null,2.1,632.168904899135,,,3,3
Beauregard,84,1,,,908,Retr.artis.commerc.chefs d'entrep.,70,,15.2,13,null,7.2,805.494306167401,,,2,2
Bellignat,84,1,,,3852,Retraités salariés privés,72,,16.9,35,null,3.5,1181.68052180685,92,2.4,2,2
Béligneux,84,1,,,3345,Journalistes et autres médias,68,,13.5,29,null,7.2,642.945234678625,,,3,3
Valserhône,84,1,,,16701,Professeurs du secondaire et techn.,65,,16.3,150,null,5.5,2448.26764804503,34,0.2,2,2
Belley,84,1,,,9542,Retraités salariés privés,72,,22.7,92,null,5.5,1832.98621672605,,,2,2
Belleydoux,84,1,,,326,Retraités salariés privés,74,,15.6,0,null,8.5,3540.46309815951,,,4,4
Valromey-sur-Séran,84,1,,,1315,Employés (autres entrep. publiques),39,,25.7,7,null,6.7,1353.48869961977,,,5,3
