siren,nom,chef de l'exécutif,parti politique,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode
213500010,Acigné,Olivier Dehaese,,COM,BRE-53,https://data.rennesmetropole.fr/explore/?sort=modified&refine.publisher=Commune+d%27Acigné,4,,,,Commune d'Acigné,6275,48.133900,-1.536640,ptf,35
214700015,Agen,Jean Dionis du Séjour,Union pour la démocratie française,COM,NAQ-75,https://data.agen.fr/explore/?refine.publisher=Mairie+d%27Agen,5,https://www.data.gouv.fr/fr/organizations/5bec29278b4c412a07c7ee5f/,68,5bec29278b4c412a07c7ee5f,Mairie d'Agen,34956,44.202482,0.618546,ptf+datagouv,47
216400085,Ahaxe-Alciette-Bascassan,Jean-Paul Bidart,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5f55fc85c2d347d5abab8c57/,2,5f55fc85c2d347d5abab8c57,,274,43.145446,-1.165406,datagouv,64
2.10400016E8,Aiglun,Michel Audran,,COM,PAC-93,https://trouver.datasud.fr/organization/commune-daiglun-04,4,,,,,1384,44.049420,6.137558,ptf,4.0
216400135,Ainhice-Mongelos,Jean-Pierre Irigoin,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5f340b1cfbebbe5c7c80d24e/,2,5f340b1cfbebbe5c7c80d24e,,173,43.206295,-1.155660,datagouv,64
2.16400143E8,Ainhoa,Michel Ibarlucia,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5d4834076f444118283abfcf/,2,5d4834076f444118283abfcf,,672,43.306727,-1.497750,datagouv,64.0
214000010,Aire-sur-l'Adour,Xavier Lagrave,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5b9a1371634f417f35dc4a7c/,1,5b9a1371634f417f35dc4a7c,,6099,43.702400,-0.262945,datagouv,40
211300017,Aix-en-Provence,Maryse Joissains-Masini,Union pour la démocratie française,COM,PAC-93,https://aix-en-provence.opendatasoft.com/explore/?sort=modified&refine.publisher=Ville+d%27Aix+en+Provence,3,,,,Ville d'Aix en Provence,143006,43.528300,5.453301,ptf,13
,,,Parti radical,,,,,,,,,,,,,
,,,Union pour un mouvement populaire,,,,,,,,,,,,,
217300086,Aix-les-Bains,Renaud Beretti,,COM,ARA-84,,,https://www.data.gouv.fr/fr/organizations/5ab9e75188ee387964e77c2b/,1,5ab9e75188ee387964e77c2b,,30291,45.688789,5.914682,datagouv,73
218100048,Albi,Stéphanie Guiraud-Chaumeil,,COM,OCC-76,https://opendata.mairie-albi.fr/dataset?q=,24,,,,,48970,43.927755,2.147899,ptf,81
2.15600016E8,Allaire,Jean-François Mary,,COM,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5a1d2901c751df5e50300f1c,1,5a1d2901c751df5e50300f1c,,3902,47.636403,-2.164071,datagouv,56.0
213000102,Anduze,Geneviève Blanc,,COM,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5c49b5498b4c4139d1714d76/,3,5c49b5498b4c4139d1714d76,,3484,44.053800,3.984670,datagouv,30
214900078,Angers,Christophe Béchu,Union pour un mouvement populaire,COM,PDL-52,https://data.angers.fr/explore/?refine.publisher=Ville+d%27Angers,45,,,,Ville d'Angers,155984,47.472070,-0.556585,ptf,49
216400242,Anglet,Claude Olive,,COM,NAQ-75,https://anglet-opendatapaysbasque.opendatasoft.com/explore/?sort=modified,19,,,,,38929,43.476600,-1.513500,ptf,64
210600045,Antibes,Jean Leonetti,Union pour la démocratie française,COM,PAC-93,https://trouver.datasud.fr/organization/ville-dantibes-juan-les-pins,107,,,,,76119,43.571992,7.098750,ptf,06
,,,Parti radical,,,,,,,,,,,,,
,,,Union pour un mouvement populaire,,,,,,,,,,,,,
216400457,Arhansus,Christine Erdozaincy-Etchart,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5e66099d634f411da2f28cfd/,2,5e66099d634f411da2f28cfd,,74,43.258160,-1.034527,datagouv,64
215900176,Armentières,Bernard Haesebroeck,,COM,HDF-32,https://opendata.lillemetropole.fr/explore/?refine.publisher=Ville+d%27ARMENTIERES,2,,,,Ville d'ARMENTIERES,25445,50.687158,2.879932,ptf,59
219200045,Asnières-sur-Seine,Manuel Aeschlimann,Union pour un mouvement populaire,COM,IDF-11,https://opendata.hauts-de-seine.fr/explore/?refine.publisher=Ville+d%27Asnières-sur-Seine,5,https://www.data.gouv.fr/fr/organizations/5a61b7a7c751df3fd36ac81a,1,5a61b7a7c751df3fd36ac81a,Ville d'Asnières-sur-Seine,87286,48.910760,2.285095,ptf+datagouv,92
,,,Rassemblement pour la République,,,,,,,,,,,,,
,,,Génération écologie,,,,,,,,,,,,,
,,Manuel Aeschlimann,Union pour un mouvement populaire,,,,,,,,,,,,,
,,,Rassemblement pour la République,,,,,,,,,,,,,
,,,Génération écologie,,,,,,,,,,,,,
213100225,Aucamville,Gérard Andre,,COM,OCC-76,https://data.toulouse-metropole.fr/explore/?refine.publisher=Mairie+d%27Aucamville,4,,,,Mairie d'Aucamville,8203,43.667997,1.429367,ptf,31
213100332,Auterive,René Azema,,COM,OCC-76,https://data.laregion.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Commune+d%27Auterive,1,,,,Commune d'Auterive,9417,43.350837,1.477022,ptf,31
217100148,Autun,Vincent Chauvet,Mouvement démocrate,COM,BFC-27,https://www.databfc.fr/bfc/portail,4,https://www.data.gouv.fr/fr/organizations/5bb47c2a634f416334276b4f/,4,5bb47c2a634f416334276b4f,,13635,46.951000,4.297800,ptf+datagouv,71
218400075,Avignon,Cécile Helle,Parti socialiste,COM,PAC-93,https://trouver.datasud.fr/organization/avignon,42,,,,,93968,43.947855,4.807592,ptf,84
216400861,Ayherre,Arnaud Gastambide,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5cfa61b1634f411763ec4dff/,2,5cfa61b1634f411763ec4dff,,1034,43.391500,-1.254330,datagouv,64
213400229,Baillargues,Jean-Luc Meissonnier,,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/baillargues,26,,,,,7202,43.661125,4.012632,ptf,34
213500135,Bains-sur-Oust,Daniel Barre,,COM,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5a1d64a3c751df51a9440eae,8,5a1d64a3c751df51a9440eae,,3524,47.703591,-2.071711,datagouv,35
213100449,Balma,Vincent Terrail-Novès,Les Républicains,COM,OCC-76,https://data.toulouse-metropole.fr/explore/?refine.publisher=Mairie+de+Balma,4,,,,Mairie de Balma,16140,43.609568,1.497847,ptf,31
218300093,Bandol,Jean-Paul Joseph,,COM,PAC-93,https://opendata.sictiam.fr/fr/organization/mairie-de-bandol,1,,,,,8122,43.135894,5.752869,ptf,83
215500299,Bar-le-Duc,Jacques Barbezange,,COM,GES-44,,,https://www.data.gouv.fr/fr/organizations/56b89c46c751df22549f9dea,32,56b89c46c751df22549f9dea,,16337,48.770942,5.166424,datagouv,55
211200563,Baraqueville,Jacques Barbezange,,COM,OCC-76,,,https://www.data.gouv.fr/fr/organizations/59bf94cec751df629f10513d/,1,59bf94cec751df629f10513d,,3141,44.276355,2.432449,datagouv,12
214400103,Batz-sur-Mer,Marie-Catherine Lehuédé,,COM,PDL-52,https://data.paysdelaloire.fr/explore/?disjunctive.diffuseur&disjunctive.gestionnaire&disjunctive.publisher&source=shared&sort=title&refine.publisher=Batz-sur-Mer,1,,,,Batz-sur-Mer,2974,47.277138,-2.479193,ptf,44
