siren,nom,chef de l'exécutif2,parti politique,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode
200053767,Auvergne-Rhône-Alpes,,,REG,ARA-84,http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider[]=R%C3%A9gion%20Auvergne%20Rh%C3%B4ne-Alpes&from=0,71,,,,,8027000,,,ptf,69
200053726,Bourgogne-Franche-Comté,,,REG,BFC-27,https://trouver.ternum-bfc.fr/organization/region-bourgogne-franche-comte,24,https://www.data.gouv.fr/fr/organizations/5835cdb988ee383e0bc65bb3,24,5835cdb988ee383e0bc65bb3,,2795000,,,ptf+datagouv,25
233500016,Bretagne,,,REG,BRE-53,https://data.bretagne.bzh/explore/?sort=modified&refine.publisher=R%C3%A9gion+Bretagne,127,https://www.data.gouv.fr/fr/organizations/559a4970c751df46a9a453ba,171,559a4970c751df46a9a453ba,Région Bretagne,3329000,,,ptf+datagouv,35
234500023,Centre-Val de Loire,François Bonneau,Parti socialiste,REG,CVL-24,https://data.centrevaldeloire.fr/explore/?sort=explore.popularity_score&refine.publisher=R%C3%A9gion+Centre-Val+de+Loire,24,,,,Région Centre-Val de Loire + Portail SIG de la Région Centre-Val de Loire*,2567000,,,ptf,37
232000018,Corse,,,REG,COR-94,https://www.data.corsica/explore/?refine.publisher=Collectivit%C3%A9+Territoriale+de+Corse,105,https://www.data.gouv.fr/fr/organizations/537d58eea3a72973a2dc026c,516,537d58eea3a72973a2dc026c,Collectivité Territoriale de Corse,339178,,,ptf+datagouv,2A
200052264,Grand Est,Jean Rottner,Union pour la démocratie française,REG,GES-44,http://data.grandest.fr/donnees,39,https://www.data.gouv.fr/fr/organizations/55df259f88ee386e57a46ec2,27,55df259f88ee386e57a46ec2,,5518000,,,ptf+datagouv,67
,,,Union pour un mouvement populaire,,,,,,,,,,,,,
200053742,Hauts-de-France,Xavier Bertrand,Union pour un mouvement populaire,REG,HDF-32,http://opendata.hautsdefrance.fr/dataset,167,https://www.data.gouv.fr/fr/organizations/5df935d8634f414e69469492/,167,5df935d8634f414e69469492,,6006870,,,ptf+datagouv,59
,,,Rassemblement pour la République,,,,,,,,,,,,,
,,,Les Républicains,,,,,,,,,,,,,
2.37500079E8,Île-de-France,Valérie Pécresse,Union pour un mouvement populaire,REG,IDF-11,https://data.iledefrance.fr/explore/?refine.publisher=R%C3%A9gion+%C3%8Ele-de-France,303,https://www.data.gouv.fr/fr/organizations/534fffa8a3a7292c64a780c8,861,534fffa8a3a7292c64a780c8,Région Île-de-France,12210000,,,ptf+datagouv,75.0
,,,Rassemblement pour la République,,,,,,,,,,,,,
,,,Les Républicains,,,,,,,,,,,,,
,,,Libres,,,,,,,,,,,,,
239740012,La Réunion,Didier Robert,Union pour un mouvement populaire,REG,RE-04,https://data.regionreunion.com/explore/?disjunctive.theme&disjunctive.modified&disjunctive.publisher&sort=modified&refine.publisher=Conseil+Régional+La+Réunion,21,,,,,853659,,,ptf,974
,,,Les Républicains,,,,,,,,,,,,,
‎200053403,Normandie,Hervé Morin,Union pour la démocratie française,REG,NOR-28,,,https://www.data.gouv.fr/fr/organizations/region-normandie/,31,565ebf4788ee3869aae72046,,3343000,,,datagouv,76.0
,,,Parti républicain,,,,,,,,,,,,,
200053759,Nouvelle-Aquitaine,,,REG,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/534fff6aa3a7292c64a77d95,2,534fff6aa3a7292c64a77d95,,5987000,,,datagouv,33
200024933,Gouvernement du territoire de Nouvelle-Calédonie,,,REG,NC,https://data.gouv.nc/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.attributions&disjunctive.license&sort=explore.popularity_score&refine.publisher=Gouvernement+de+la+Nouvelle-Calédonie,156,,,,,271940,,,ptf,988
200053791,Occitanie,Carole Delga,Parti socialiste,REG,OCC-76,https://data.laregion.fr/explore/?refine.publisher=R%C3%A9gion+Occitanie,125,,,,Région Occitanie,5893000,,,ptf,31
234400034,Pays de la Loire,Christelle Morançais,Union pour un mouvement populaire,REG,PDL-52,https://data.paysdelaloire.fr/explore/?refine.publisher=Région+des+Pays+de+la+Loire,52,https://www.data.gouv.fr/fr/organizations/534fffa7a3a7292c64a780c5,319,534fffa7a3a7292c64a780c5,Région des Pays de la Loire,3787000,,,ptf+datagouv,44
,,,Les Républicains,,,,,,,,,,,,,
231300021,Provence-Alpes-Côte d'Azur,,,REG,PAC-93,https://trouver.datasud.fr/organization/region-sud,69,https://www.data.gouv.fr/fr/organizations/534fffa8a3a7292c64a780d2,68,534fffa8a3a7292c64a780d2,,5007977,,,ptf+datagouv,13
