siren,nom,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,long,merge,depcode,nom_upper,part_plus65,nb_crea_entps,flux_migration_res,niveau_vie,part_diplomes,depenses_hab
200023737,CA DU GRAND CAHORS,CA,OCC-76,,,https://www.data.gouv.fr/fr/organizations/589d6e22c751df0ff0ae0a65,23,589d6e22c751df0ff0ae0a65,,40775,,,datagouv,46,GRAND CAHORS,25.4,409,243100518,21200,8,987.040992562256
200066876,CHALONS EN CHAMPAGNE AGGLOMERATION,CA,GES-44,https://opendata-agglo-chalons.opendata.arcgis.com/search,18,,,,,44753,,,ptf,51,CHALONS EN CHAMPAGNE,18.7,594,200067213,20970,5.7,827.99606457549
200066884,CC QUERCY VERT AVEYRON,CC,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5d838f9b6f444174735e1e0a/,1,5d838f9b6f444174735e1e0a,,21794,,,datagouv,82,QUERCY VERT AVEYRON,20,192,248200099,20620,4.7,537.41393955675
200067965,CA REGION DE COMPIEGNE ET DE LA BASSE AUTOMNE,CA,HDF-32,,,https://www.data.gouv.fr/fr/organizations/5e2af3758b4c41693ce44aa3/,1,5e2af3758b4c41693ce44aa3,,82180,,,datagouv,60,REGION DE COMPIEGNE ET DE LA BASSE AUTOMNE,17.4,814,200054781,22050,12.4,814.861481760503
200068146,CC SARREBOURG MOSELLE SUD,CC,GES-44,,,https://www.data.gouv.fr/fr/organizations/5bd9653a634f417672a9dd46/,1,5bd9653a634f417672a9dd46,,46194,,,datagouv,57,SARREBOURG MOSELLE SUD,21,287,245700950,21070,4.1,482.024772512256
200069037,CA PAYS DE SAINT OMER,CA,HDF-32,,,https://www.data.gouv.fr/fr/organizations/5e848e61eed811f6b7cdc220/,1,5e848e61eed811f6b7cdc220,,72565,,,datagouv,62,SAINT OMER,17.4,654,200093201,19390,4.4,977.133984712928
200069110,CA GRAND CHAMBERY AGGLOMERATION,CA,ARA-84,https://donnees.grandchambery.fr/explore/?refine.publisher=Grand+Chamb%C3%A9ry,20,https://www.data.gouv.fr/fr/organizations/5ba24dc9634f41611dc498cc/,35,5ba24dc9634f41611dc498cc,Grand Chambéry,136805,,,ptf+datagouv,73,GRAND CHAMBERY,19.7,1972,200068674,23040,11.6,1185.97946383742
200069425,CA MONT SAINT MICHEL NORMANDIE,CA,NOR-28,https://www.opendata-manche.fr/web/guest/donnees,11,,,,,87984,,,ptf,50,MONT SAINT MICHEL NORMANDIE,26.7,644,200042604,20410,3.6,598.735882082746
200069821,CA FECAMP CAUX LITTORAL AGGLOMERATION,CA,NOR-28,https://data.estuairedelaseine.fr/,6,,,,,39521,,,ptf,76,FECAMP CAUX LITTORAL,21.9,275,200084952,20480,4.1,559.179282242991
200070787,CC PALTEAU DE LANNEMEZAN,CC,OCC-76,https://opendata.ha-py.fr/pages/plateau-de-lannemezan/,1,,,,,17942,,,ptf,65,PALTEAU DE LANNEMEZAN,28.7,157,,20560,4.7,447.586961915125
200071199,CC PLAINE LIMAGNE,CC,ARA-84,http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider[]=Communaut%C3%A9%20de%20Communes%20Limagne%20Bords%20Allier&from=0,1,,,,,21019,,,ptf,63,PLAINE LIMAGNE,20.5,124,200070753,21540,4.7,292.769359821346
200077014,CA VIENNE CONDRIEU,CA,ARA-84,,,https://www.data.gouv.fr/fr/organizations/5f6af29ff7ae06ea64a234d1/,1,5f6af29ff7ae06ea64a234d1,,89522,,,datagouv,69,VIENNE CONDRIEU,19.2,1222,200046977,23160,8.5,894.074959668581
240100750,CA PAYS DE GEX,CA,ARA-84,,,https://www.data.gouv.fr/fr/organizations/5f199bd29460ebdaddd95b99/,2,5f199bd29460ebdaddd95b99,,93027,,,datagouv,1,GEX,11.4,921,200046977,35820,22.9,657.169524094677
241300375,CC VALLEE DES BAUX ALPILLES,CC,PAC-93,,,https://www.data.gouv.fr/fr/organizations/5bfbf1548b4c412a0cdc6c70/,4,5bfbf1548b4c412a0cdc6c70,,27744,,,datagouv,13,VALLEE DES BAUX ALPILLES,,,,,,762.980574374601
242600252,CC DU VAL DE DROME EN BIOVALLEE,CC,ARA-84,,,https://www.data.gouv.fr/fr/organizations/5dfcf3126f44410ff204c4a8/,1,5dfcf3126f44410ff204c4a8,,30844,,,datagouv,26,VAL DE DROME EN BIOVALLEE,19.6,357,200068781,21500,7.1,723.913358923926
242900744,CC POHER COMMUNAUTE,CC,BRE-53,http://datarmor.cotesdarmor.fr/web/guest/donnees,1,,,,,15597,,,ptf,22,POHER,26.6,82,,20460,4.2,784.382374473797
243500667,CC DU VAL D'ILLE AUBIGNE,CC,BRE-53,,,https://www.data.gouv.fr/fr/organizations/57daa20388ee385c305ff491,41,57daa20388ee385c305ff491,,34929,,,datagouv,35,VAL D'ILLE AUBIGNE,13.7,299,243500139,23380,10.5,315.950989544744
245701222,CA VAL DE FENSCH,CA,GES-44,,,https://www.data.gouv.fr/fr/organizations/5d3193bb634f4103f485c9f9/,12,5d3193bb634f4103f485c9f9,,70268,,,datagouv,57,VAL DE FENSCH,20.3,482,245701362,19830,3.5,649.869418841905
245901152,CC COEUR D'OSTREVENT,CC,HDF-32,,,https://www.data.gouv.fr/fr/organizations/5c937ac98b4c41415cbe68c8/,1,5c937ac98b4c41415cbe68c8,,72312,,,datagouv,59,COEUR D'OSTREVENT,17,416,200044618,18730,3.5,389.754261983666
246800726,CA COLMAR,CA,GES-44,,,https://www.data.gouv.fr/fr/organizations/5e44026b8b4c416f93430c66/,2,5e44026b8b4c416f93430c66,,116314,,,datagouv,68,COLMAR,19.5,1056,246700488,22150,9.4,539.925938414916
247600539,CC CAUX ESTUAIRE,CC,NOR-28,https://data.estuairedelaseine.fr,23,,,,,18315,,,ptf,76,CAUX ESTUAIRE,,,,,,
