"nom","type","nb_publi","ouvre_data","pop_insee","CSP_chef","age_chef","part_plus65","nb_crea_entps","flux_migration_res","part_diplomes","depenses_hab"
"Guadeloupe","REG",0,0,400170,"Agents technique et techniciens",59,17.9,5336,11,5.4,1205.20538748532
"Martinique","REG",0,0,382294,"Professions Intermédiaires",84,19.8,3786,11,6.5,2835.52605902787
"Guyane","REG",0,0,271829,"Cadres et professions intellectuelles supérieures",67,5.3,1856,11,5.7,1773.37091399372
"La Réunion","REG",21,1,862814,"Cadres sup. (entreprises publiques)",57,11.1,8278,76,5.4,1158.19560557664
"Île-de-France","REG",303,1,12258425,"Magistrats",53,14.7,251781,75,19.9,388.50250003569
"Centre-Val de Loire","REG",24,1,2645792,"Retraités de l'enseignement",67,21.8,22158,11,6.7,521.946767278002
"Bourgogne-Franche-Comté","REG",24,1,2900558,"Retraités fonct.publique (sf enseig.)",72,22.3,24208,84,6.3,512.83326507865
"Normandie","REG",0,0,3420995,"Permanents politiques",59,20.6,28531,11,6.3,581.751557549777
"Hauts-de-France","REG",167,1,6110588,"Agents généraux d'assurances",56,17.3,51438,11,6.7,539.100692830215
"Grand Est","REG",39,1,5674357,"Médecins",54,19.4,47594,11,7.1,523.226156084293
"Pays de la Loire","REG",52,1,3838856,"Industriels-Chefs entreprise",46,20,34826,53,7.5,462.17083591049
"Bretagne","REG",127,1,3404015,"Autres cadres (secteur privé)",44,21.6,28214,52,8,454.417207985276
"Nouvelle-Aquitaine","REG",2,1,6092505,"Autres professions",70,23.2,69268,76,7.6,496.097332169608
"Occitanie","REG",125,1,5944715,"Fonctionnaires de catégorie A",49,22,78045,75,9.6,529.070784947638
"Auvergne-Rhône-Alpes","REG",71,1,8104357,"Autres professions",46,19.4,103528,11,10,483.363252551683
"Provence-Alpes-Côte d'Azur","REG",69,1,5103573,"Médecins",62,22.5,83274,76,10.1,429.531657662191
"Corse","REG",0,0,335995,"Avocats",54,23,4691,93,7.5,3592.82819815771
"Ain","DEP",39,1,655171,"Représentants de commerce",57,17.3,6546,69,8.5,979.300259611613
"Aisne","DEP",1,1,549587,"Professeurs du secondaire et techn.",59,19.7,3225,51,4,1104.02238055121
"Allier","DEP",0,0,349336,"Professions rattachées à enseignt.",46,26.7,2326,63,4.7,1321.5922763185
"Alpes-de-Haute-Provence","DEP",34,1,167331,"Fonctionnaires de catégorie A",70,25.4,1847,13,7.4,1367.55652682408
"Hautes-Alpes","DEP",61,1,146148,"Retraités fonct.publique (sf enseig.)",72,23.5,1740,13,7.4,1512.96815946848
"Alpes-Maritimes","DEP",24,1,1098539,"Industriels-Chefs entreprise",65,24.2,21957,83,11.6,1139.86256353211
"Ardèche","DEP",17,1,334591,"Autres cadres (secteur privé)",53,24.1,3237,26,5.6,1220.61477813211
"Ardennes","DEP",0,0,283004,"Fonctionnaires de catégorie A",63,20.7,1843,51,3.9,1281.05143740018
"Ariège","DEP",1,1,158205,"Journalistes et autres médias",76,25.4,1670,31,5.6,1408.14581290098
"Aube","DEP",1,1,316639,"Ingénieurs",69,20.9,2637,51,5.2,1157.46973885087
"Aude","DEP",23,1,377580,"Professeurs de faculté",50,25.2,4001,31,6,1495.75159280153
