"nom","nb_publi","ouvre_data","code_region","code_departement","nb_ptf","nb_datagouv","pop_insee","CSP_chef","age_chef","partis_po_chef","part_plus65","nb_crea_entps","flux_migration_res","part_diplomes","depenses_hab","nb_etudiants","part_etudiants","niveau_rural","densite","obligation_ouvrir"
"L'Abergement-Clémenciat",0,0,84,1,0,0,785,"Retraités salariés privés",70,NA,18.8,11,NA,5.6,880.993044585987,NA,NA,5,3,0
"L'Abergement-de-Varey",0,0,84,1,0,0,244,"Autres retraités",73,NA,18.1,3,NA,9.1,1573.6131557377,NA,NA,6,4,0
"Ambérieu-en-Bugey",0,0,84,1,0,0,14518,"Cadres (entreprises publiques)",59,NA,16.7,176,NA,6.3,1458.89118542499,155,1.1,2,2,1
"Ambérieux-en-Dombes",0,0,84,1,0,0,1705,"Professeurs du secondaire et techn.",59,NA,15.5,23,NA,4.8,693.036879765396,NA,NA,4,3,0
"Ambléon",0,0,84,1,0,0,116,"Retraités fonct.publique (sf enseig.)",69,NA,23.6,0,NA,3.2,739.496206896552,NA,NA,6,4,0
"Ambronay",0,0,84,1,0,0,2788,"Retraités salariés privés",67,NA,16.2,30,NA,7.3,916.351904591105,NA,NA,5,3,0
"Ambutrix",0,0,84,1,0,0,763,"Agents technique et techniciens",58,NA,13.5,6,NA,6.8,818.076317169069,NA,NA,2,2,0
"Andert-et-Condon",0,0,84,1,0,0,344,"Retraités des entreprises publiques",70,NA,27.5,2,NA,8.5,929.521831395349,NA,NA,5,3,0
"Anglefort",0,0,84,1,0,0,1142,"Retr.artis.commerc.chefs d'entrep.",73,NA,15.9,8,NA,3.5,1328.83071803853,NA,NA,5,3,0
"Apremont",0,0,84,1,0,0,394,"Retraités salariés privés",69,NA,17.3,3,NA,6,1018.25583756345,NA,NA,3,3,0
"Aranc",0,0,84,1,0,0,330,"Professeurs de faculté",73,NA,26.1,2,NA,4.1,1307.891,NA,NA,6,4,0
"Arandas",0,0,84,1,0,0,151,"Agriculteurs propriétaires exploit.",50,NA,20.1,0,NA,1.9,4222.03119205298,NA,NA,6,4,0
"Arbent",0,0,84,1,0,0,3470,"Retraités salariés privés",77,NA,20.1,34,NA,3.3,1716.50431988473,NA,NA,2,2,0
"Arboys en Bugey",0,0,84,1,0,0,656,"Retraités des entreprises publiques",70,NA,25.2,3,NA,7.2,1211.30480182927,NA,NA,6,4,0
"Arbigny",0,0,84,1,0,0,466,"Retr.artis.commerc.chefs d'entrep.",72,NA,18.6,5,NA,2.2,635.593669527897,NA,NA,4,3,0
"Argis",0,0,84,1,0,0,452,"Retraités salariés privés",83,NA,21.4,1,NA,3.1,1448.92057522124,NA,NA,5,3,0
"Armix",0,0,84,1,0,0,26,"Salariés du secteur médical",56,NA,25,1,NA,0,3291.43307692308,NA,NA,6,4,0
"Ars-sur-Formans",0,0,84,1,0,0,1418,"Retraités salariés privés",68,NA,15.9,15,NA,7.7,632.943885754584,NA,NA,4,3,0
"Artemare",0,0,84,1,0,0,1248,"Retraités des professions libérales",69,NA,23.3,8,NA,2.6,1056.93741987179,NA,NA,5,3,0
"Asnières-sur-Saône",0,0,84,1,0,0,66,"Retraités salariés privés",69,NA,18.4,0,NA,7.1,1140.86045454545,NA,NA,3,4,0
"Attignat",0,0,84,1,0,0,3336,"Cadres supérieurs (secteur privé)",55,"divers droite",16.1,24,NA,4.4,1417.07199640288,NA,NA,3,3,0
"Bâgé-Dommartin",0,0,84,1,0,0,4191,"Fonctionnaires de catégorie A",72,NA,16.2,25,NA,5.2,861.713569553806,NA,NA,3,3,1
"Bâgé-le-Châtel",0,0,84,1,0,0,971,"Retraités salariés privés",75,NA,25.6,2,NA,4.1,962.929546858908,NA,NA,3,3,0
"Balan",0,0,84,1,0,0,2920,"Agriculteurs propriétaires exploit.",67,NA,8.6,27,NA,5,568.833863013699,NA,NA,4,3,0
"Baneins",0,0,84,1,0,0,606,"Agriculteurs propriétaires exploit.",57,NA,13.8,6,NA,4.5,1062.36671617162,NA,NA,5,3,0
"Beaupont",0,0,84,1,0,0,694,"Retr.artis.commerc.chefs d'entrep.",70,"divers droite",17.4,6,NA,2.1,632.168904899135,NA,NA,3,3,0
"Beauregard",0,0,84,1,0,0,908,"Retr.artis.commerc.chefs d'entrep.",70,NA,15.2,13,NA,7.2,805.494306167401,NA,NA,2,2,0
"Bellignat",0,0,84,1,0,0,3852,"Retraités salariés privés",72,NA,16.9,35,NA,3.5,1181.68052180685,92,2.4,2,2,1
"Béligneux",0,0,84,1,0,0,3345,"Journalistes et autres médias",68,NA,13.5,29,NA,7.2,642.945234678625,NA,NA,3,3,0
"Valserhône",0,0,84,1,0,0,16701,"Professeurs du secondaire et techn.",65,NA,16.3,150,NA,5.5,2448.26764804503,34,0.2,2,2,1
"Belley",0,0,84,1,0,0,9542,"Retraités salariés privés",72,NA,22.7,92,NA,5.5,1832.98621672605,NA,NA,2,2,1
"Belleydoux",0,0,84,1,0,0,326,"Retraités salariés privés",74,NA,15.6,0,NA,8.5,3540.46309815951,NA,NA,4,4,0
"Valromey-sur-Séran",0,0,84,1,0,0,1315,"Employés (autres entrep. publiques)",39,NA,25.7,7,NA,6.7,1353.48869961977,NA,NA,5,3,0
"Bénonces",0,0,84,1,0,0,298,"Professions rattachées à enseignt.",56,NA,22.1,2,NA,5.8,1994.56345637584,NA,NA,6,4,0
"Bény",0,0,84,1,0,0,783,"Employés (autres entrep. publiques)",63,NA,18.5,5,NA,4.1,804.425670498084,NA,NA,3,3,0
"Béon",0,0,84,1,0,0,472,"Agents d'assurances",57,NA,18.5,7,NA,4.7,1022.77065677966,NA,NA,5,3,0
"Béréziat",0,0,84,1,0,0,501,"Retraités salariés privés",69,NA,12.6,2,NA,1.5,638.163652694611,NA,NA,4,3,0
"Bettant",0,0,84,1,0,0,771,"Retraités des entreprises publiques",65,NA,17.2,3,NA,5.5,880.917068741894,NA,NA,2,2,0
"Bey",0,0,84,1,0,0,290,"Retraités de l'enseignement",71,NA,16.3,3,NA,4.5,910.955689655172,NA,NA,3,3,0
"Beynost",0,0,84,1,0,0,4674,"Sans profession déclarée",55,NA,18.1,77,NA,17.1,2172.98951005563,NA,NA,2,2,1
"Billiat",0,0,84,1,0,0,626,"Retraités fonct.publique (sf enseig.)",65,NA,15.3,4,NA,5.3,3285.6453514377,NA,NA,4,3,0
"Birieux",0,0,84,1,0,0,289,"Retraités salariés privés",80,NA,13.5,3,NA,9,905.802629757785,NA,NA,3,4,0
"Biziat",0,0,84,1,0,0,866,"Industriels-Chefs entreprise",58,NA,13.7,8,NA,3.5,960.353729792148,NA,NA,5,3,0
"Blyes",0,0,84,1,0,0,1017,"Agriculteurs propriétaires exploit.",70,NA,11.2,21,NA,8.2,4021.01593903638,NA,NA,4,3,0
"La Boisse",0,0,84,1,0,0,3074,"Retraités salariés privés",71,NA,16.2,34,NA,8.7,894.930770982433,NA,NA,2,2,0
"Boissey",0,0,84,1,0,0,345,"Retraités fonct.publique (sf enseig.)",71,NA,14.2,1,NA,3,1099.51663768116,NA,NA,4,3,0
"Bolozon",0,0,84,1,0,0,90,"Retraités des entreprises publiques",69,NA,30.3,3,NA,0,2425.21733333333,NA,NA,6,4,0
"Bouligneux",0,0,84,1,0,0,325,"Professeurs du secondaire et techn.",53,NA,23.8,2,NA,9.5,1177.10941538462,NA,NA,4,4,0
"Bourg-en-Bresse",0,0,84,1,0,0,43454,"Grands corps de l'état",55,"Parti socialiste",22.1,574,1289,7.4,1794.27441478345,2513,5.8,2,2,1
"Bourg-Saint-Christophe",0,0,84,1,0,0,1353,"Agriculteurs propriétaires exploit.",69,NA,11.9,15,NA,12.1,1251.51784922395,NA,NA,3,3,0
"Boyeux-Saint-Jérôme",0,0,84,1,0,0,360,"Cadres (entreprises publiques)",56,NA,21.7,2,NA,5.5,982.364666666667,NA,NA,6,4,0
"Boz",0,0,84,1,0,0,525,"Fonctionnaires de catégorie C",62,NA,14.7,7,NA,1.9,1162.61796190476,NA,NA,3,3,0
"Brégnier-Cordon",0,0,84,1,0,0,868,"Fonctionnaires de catégorie C",32,NA,18.1,12,NA,4.5,1607.83256912442,NA,NA,5,3,0
"Brénod",0,0,84,1,0,0,544,"Sans profession déclarée",67,NA,25.3,7,NA,5.3,1290.73068014706,NA,NA,5,3,0
"Brens",0,0,84,1,0,0,1196,"Employés (autres entrep. publiques)",61,NA,14,17,NA,5.8,764.70652173913,NA,NA,5,3,0
"Bressolles",0,0,84,1,0,0,912,"Fonctionnaires de catégorie B",52,NA,15.4,13,NA,13.3,1320.84800438596,NA,NA,2,2,0
"Brion",0,0,84,1,0,0,523,"Retraités salariés privés",79,NA,24.2,6,NA,4.9,3100.85956022945,NA,NA,2,2,0
"Briord",0,0,84,1,0,0,1004,"Administrateurs de sociétés",66,NA,11.1,6,NA,1.2,1414.14295816733,NA,NA,5,3,0
