nom,nb_publi,ouvre_data,code_region,nb_ptf,nb_datagouv,population,CSP_chef,age_chef,partis_po_chef,part_plus65,niveau_vie,part_diplomes,taux_chomage,nb_crea_entps,nb_nuitees_hotels,flux_migration_res,depenses_hab,nb_etudiants,part_etudiants,niveau_rural,niveau_densite,percent_pop_rurale,region,is_big_nb_etu,feuilles_CART,is_extreme
Ain,39,1,84,39,12,655171,4,57,Droite,17.6,23420,8.9,6,6546,1311,69,979.300259611613,3229,0.5,4,3,50.1712908991995,Auvergne-Rhône-Alpes,0,3,0
Aisne,1,1,32,0,1,549587,4,59,Droite,20.2,19690,4.1,11.1,3225,523,51,1104.02238055121,5714,1,3,3,57.6979522854274,Hauts-de-France,0,1,0
Allier,0,0,84,0,0,349336,4,46,Droite,27.3,20360,4.9,8.6,2326,860,63,1321.5922763185,4152,1.2,6,3,55.00269585453,Auvergne-Rhône-Alpes,0,1,0
Alpes-de-Haute-Provence,34,1,93,34,0,167331,3,70,Gauche,26,20580,7.5,9.4,1847,764,13,1367.55652682408,912,0.5,6,3,53.6449307075128,Provence-Alpes-Côte d'Azur,0,1,0
Hautes-Alpes,61,1,93,61,55,146148,7,72,Droite,24.3,20880,7.7,7.5,1740,976,13,1512.96815946848,1120,0.8,6,3,56.3130973689237,Provence-Alpes-Côte d'Azur,0,1,0
Alpes-Maritimes,24,1,93,24,24,1098539,2,65,Droite,24.4,22140,12,8.9,21957,9062,83,1139.86256353211,46080,4.2,3,1,4.48331260594205,Provence-Alpes-Côte d'Azur,0,1,1
Ardèche,17,1,84,17,0,334591,3,53,Gauche,24.7,20780,5.9,8.7,3237,612,26,1220.61477813211,1422,0.4,5,3,59.0985707498494,Auvergne-Rhône-Alpes,0,1,0
Ardennes,0,0,44,0,0,283004,3,63,Droite,21.2,19650,4,9.6,1843,285,51,1281.05143740018,2114,0.7,6,3,54.1136407648153,Grand Est,0,1,0
Ariège,1,1,76,0,1,158205,3,76,Gauche,26,19820,5.9,9.9,1670,258,31,1408.14581290098,978,0.6,6,3,60.7332365407278,Occitanie,0,1,0
Aube,1,1,44,0,1,316639,3,69,Droite,21.4,20430,5.4,9.9,2637,763,51,1157.46973885087,9587,3,6,1,34.9614864101553,Grand Est,0,1,0
Aude,23,1,76,23,0,377580,3,50,Gauche,25.8,19240,6.1,10.5,4001,1111,31,1495.75159280153,3342,0.9,6,2,48.254751287106,Occitanie,0,1,0
Aveyron,0,0,76,0,0,289481,7,73,Droite,27.1,20640,5.5,6,2423,722,31,1293.75573944404,3305,1.1,6,3,64.0146563675975,Occitanie,0,1,0
Bouches-du-Rhône,0,0,93,0,0,2047433,3,59,Droite,20.3,21360,12.3,9.3,33069,6724,83,1300.07683241405,98938,4.8,2,1,2.21194424978588,Provence-Alpes-Côte d'Azur,1,4,1
Calvados,23,1,28,0,23,709715,8,66,Droite,21.3,21490,8,7.4,7243,3556,50,1019.53689444354,37048,5.2,3,2,43.2491979713477,Normandie,0,2,0
Cantal,5,1,84,0,5,151615,3,54,Droite,27.7,20510,4.4,4.7,860,445,63,1500.87776367774,1390,0.9,6,3,67.9159618419977,Auvergne-Rhône-Alpes,0,1,0
Charente,57,1,75,57,0,365697,3,63,Gauche,24.9,20640,5.7,7.8,3129,468,17,1213.18990544084,4107,1.1,6,3,64.3417152014678,Nouvelle-Aquitaine,0,1,0
Charente-Maritime,1,1,75,0,1,660458,8,69,Droite,27.3,21280,6.5,8.3,7558,2321,33,1200.7110722105,16196,2.5,5,3,55.130941876079,Nouvelle-Aquitaine,0,1,0
Cher,0,0,24,0,0,315100,7,73,Droite,25.5,20880,5.4,8,2168,678,45,1207.03448724215,4199,1.3,6,3,59.6530347289841,Centre-Val de Loire,0,1,0
Corrèze,0,0,75,0,0,249707,1,54,Droite,27.2,20960,5.4,6.5,1920,538,87,1252.05556259937,3526,1.4,6,3,64.7156511943809,Nouvelle-Aquitaine,0,1,0
Côte-d'Or,3,1,27,3,0,546466,3,68,Droite,20.8,22400,9.4,6.1,5709,2544,71,1024.57105076986,37649,6.9,6,2,33.041849014944,Bourgogne-Franche-Comté,0,2,0
Côtes-d'Armor,133,1,53,133,128,618478,2,68,Droite,25.7,21230,6.2,7,4164,1168,35,1024.9582570439,8176,1.3,5,3,66.6692954872659,Bretagne,0,3,1
Creuse,0,0,75,0,0,123500,3,54,Droite,30.1,19380,4.4,7.2,754,123,87,1559.50350445344,947,0.8,6,3,80.1121252417795,Nouvelle-Aquitaine,0,1,0
Dordogne,3,1,75,3,0,426667,4,67,Gauche,28.6,20140,5.3,8.1,4291,1008,33,1274.39994278911,3252,0.8,5,3,70.966473015356,Nouvelle-Aquitaine,0,1,0
Doubs,28,1,27,28,0,552619,5,59,Droite,19.4,22590,7.6,7.4,4920,1082,70,975.293708395839,26472,4.8,6,2,44.3601630224072,Bourgogne-Franche-Comté,0,2,0
Drôme,0,0,84,0,0,522276,8,56,Droite,21.6,21100,7.6,8.6,6163,1292,7,1170.91143680736,7928,1.5,6,2,40.2126605629954,Auvergne-Rhône-Alpes,0,1,0
Eure,32,1,28,32,0,620046,3,62,Droite,19.1,21700,5.8,8.1,4852,620,76,878.218953206698,3295,0.5,4,3,62.2634025738362,Normandie,0,3,0
