nom,nb_publi,ouvre_data,code_region,nb_ptf,nb_datagouv,population,CSP_chef,age_chef,partis_po_chef,part_plus65,niveau_vie,part_diplomes,taux_chomage,nb_crea_entps,nb_nuitees_hotels,flux_migration_res,depenses_hab,nb_etudiants,part_etudiants,niveau_rural,niveau_densite,percent_pop_rurale,COG,dynamisme,pauvrete,part_diplomes_5.65
Ain,39,oui,84,39,12,655171,4,57,Droite,17.6,23420,8.9,6,6546,1311,69,979.300259611613,3229,0.5,4,3,50.1712908991995,01,1.4910017387012,-2.60998455279791,1
Aisne,1,oui,32,0,1,549587,4,59,Droite,20.2,19690,4.1,11.1,3225,523,51,1104.02238055121,5714,1,3,3,57.6979522854274,02,-1.28875217866605,1.83173004016797,0
Allier,0,non,84,0,0,349336,4,46,Droite,27.3,20360,4.9,8.6,2326,860,63,1321.5922763185,4152,1.2,6,3,55.00269585453,03,-2.10194661347997,0.366283096058247,0
Alpes-de-Haute-Provence,34,oui,93,34,0,167331,3,70,Gauche,26,20580,7.5,9.4,1847,764,13,1367.55652682408,912,0.5,6,3,53.6449307075128,04,-1.94196213304842,1.37886362056466,1
Hautes-Alpes,61,oui,93,61,55,146148,7,72,Droite,24.3,20880,7.7,7.5,1740,976,13,1512.96815946848,1120,0.8,6,3,56.3130973689237,05,-1.85513220880938,0.559511867489672,1
Ardèche,17,oui,84,17,0,334591,3,53,Gauche,24.7,20780,5.9,8.7,3237,612,26,1220.61477813211,1422,0.4,5,3,59.0985707498494,07,-1.71575296400993,0.125547184651562,1
Ardennes,0,non,44,0,0,283004,3,63,Droite,21.2,19650,4,9.6,1843,285,51,1281.05143740018,2114,0.7,6,3,54.1136407648153,08,-2.1924080267007,1.46112414847961,0
Ariège,1,oui,76,0,1,158205,3,76,Gauche,26,19820,5.9,9.9,1670,258,31,1408.14581290098,978,0.6,6,3,60.7332365407278,09,-2.75346018497911,2.12984426967051,1
Aube,1,oui,44,0,1,316639,3,69,Droite,21.4,20430,5.4,9.9,2637,763,51,1157.46973885087,9587,3,6,1,34.9614864101553,10,-0.495818188048705,1.48222351582817,0
Aude,23,oui,76,23,0,377580,3,50,Gauche,25.8,19240,6.1,10.5,4001,1111,31,1495.75159280153,3342,0.9,6,2,48.254751287106,11,-1.9647983224148,2.479979070447,1
Aveyron,0,non,76,0,0,289481,7,73,Droite,27.1,20640,5.5,6,2423,722,31,1293.75573944404,3305,1.1,6,3,64.0146563675975,12,-2.18016154493525,-0.415713288005282,0
Calvados,23,oui,28,0,23,709715,8,66,Droite,21.3,21490,8,7.4,7243,3556,50,1019.53689444354,37048,5.2,3,2,43.2491979713477,14,2.78846583153894,-0.0920302291863277,1
Cantal,5,oui,84,0,5,151615,3,54,Droite,27.7,20510,4.4,4.7,860,445,63,1500.87776367774,1390,0.9,6,3,67.9159618419977,15,-3.27085165771324,-1.38470899501971,0
Charente,57,oui,75,57,0,365697,3,63,Gauche,24.9,20640,5.7,7.8,3129,468,17,1213.18990544084,4107,1.1,6,3,64.3417152014678,16,-1.75622668482737,-0.0300065128513774,1
Charente-Maritime,1,oui,75,0,1,660458,8,69,Droite,27.3,21280,6.5,8.3,7558,2321,33,1200.7110722105,16196,2.5,5,3,55.130941876079,17,0.246691494810914,0.766078205888261,1
Cher,0,non,24,0,0,315100,7,73,Droite,25.5,20880,5.4,8,2168,678,45,1207.03448724215,4199,1.3,6,3,59.6530347289841,18,-1.72296692562545,0.309513261187224,0
Corrèze,0,non,75,0,0,249707,1,54,Droite,27.2,20960,5.4,6.5,1920,538,87,1252.05556259937,3526,1.4,6,3,64.7156511943809,19,-2.18322153374476,-1.08928021519045,0
Côte-d'Or,3,oui,27,3,0,546466,3,68,Droite,20.8,22400,9.4,6.1,5709,2544,71,1024.57105076986,37649,6.9,6,2,33.041849014944,21,3.11295449509311,-1.31480320075365,1
Creuse,0,non,75,0,0,123500,3,54,Droite,30.1,19380,4.4,7.2,754,123,87,1559.50350445344,947,0.8,6,3,80.1121252417795,23,-4.23571495788151,0.37280131518252,0
Dordogne,3,oui,75,3,0,426667,4,67,Gauche,28.6,20140,5.3,8.1,4291,1008,33,1274.39994278911,3252,0.8,5,3,70.966473015356,24,-2.22008568183055,0.766767287129703,0
Doubs,28,oui,27,28,0,552619,5,59,Droite,19.4,22590,7.6,7.4,4920,1082,70,975.293708395839,26472,4.8,6,2,44.3601630224072,25,1.80031109663252,-1.49292735590405,1
Drôme,0,non,84,0,0,522276,8,56,Droite,21.6,21100,7.6,8.6,6163,1292,7,1170.91143680736,7928,1.5,6,2,40.2126605629954,26,0.305130085867115,0.329450257900514,1
Eure,32,oui,28,32,0,620046,3,62,Droite,19.1,21700,5.8,8.1,4852,620,76,878.218953206698,3295,0.5,4,3,62.2634025738362,27,-0.0673312773343429,-0.992177722071128,1
Eure-et-Loir,29,oui,24,29,29,445281,7,84,Droite,20.3,22070,6,7.4,3604,719,78,1106.26270804279,2598,0.6,3,2,42.9525693585504,28,-0.244651315800193,-0.202211530609062,1
Finistère,45,oui,53,45,46,936432,8,50,Gauche,22.9,21690,8.1,6.9,6930,1946,56,937.278806181335,32762,3.5,5,3,50.9171316141052,29,2.02887224413647,-1.3013791368942,1
Gard,31,oui,76,0,31,757564,7,68,Gauche,22.9,20020,7.5,10.8,8941,1451,34,1199.0251869545,15425,2,5,2,27.5805430055314,30,0.869641698473499,2.81932088419357,1
Gers,19,oui,76,19,19,197851,3,67,Gauche,27.4,20820,6.6,5.9,1886,221,31,1336.27550439472,1394,0.7,6,3,84.4587363447287,32,-2.82690153969543,-1.05936640707485,1
Hérault,34,oui,76,34,0,1152125,7,76,Gauche,21.4,20330,11.9,11.2,19335,3308,30,1222.10464901812,83254,7.2,2,2,21.7843738778696,34,5.85576474488247,3.98355326824499,1
Ille-et-Vilaine,45,oui,53,45,25,1079333,3,61,Gauche,17.9,22230,11.3,6.4,10675,3053,22,946.480854166416,73073,6.8,4,2,44.5832823240923,35,5.35342327670834,-1.16546580193651,1
Indre,8,oui,24,0,8,229772,7,71,Droite,27.7,20200,4.1,7.8,1458,419,37,1030.88799871177,1843,0.8,6,3,65.2817034105898,36,-2.54421162301932,0.054131269111922,0
Indre-et-Loire,1,oui,24,1,1,620671,3,69,Droite,21.4,21750,9.1,7.2,6155,1885,41,939.969561957946,32866,5.3,5,1,32.0733659415829,37,2.55499591870694,-0.56142745049933,1
Isère,33,oui,84,33,48,1279514,3,60,Droite,18.2,22950,12.2,6.6,15998,2467,69,1208.84193810306,65369,5.1,4,2,34.9963844441691,38,5.54249405235646,-0.593769137666358,1
Jura,2,oui,27,2,0,270142,3,59,Droite,23.3,21700,5.2,5.7,2097,508,25,1126.79701627292,1986,0.7,6,3,61.7600385746106,39,-1.54933795758958,-1.9547249828686,0
Landes,0,non,75,0,0,418200,3,58,Gauche,25,21360,5.8,7.8,4715,1129,64,1188.68119375897,2624,0.6,5,3,61.9301230912024,40,-1.18983881631029,-0.377676040048577,1
Loir-et-Cher,80,oui,24,80,69,343026,2,55,Droite,24.7,21380,5.7,6.5,2596,981,37,1099.75330158647,3419,1,5,3,66.0831839476974,41,-1.37260115107795,-1.50684035466083,1
Loire,1,oui,84,0,1,778211,7,71,Droite,22.2,20770,6.3,7.9,8343,709,69,992.43372729247,29857,3.8,5,2,26.0030763934007,42,1.49941363208411,0.599425279845417,1
Haute-Loire,0,non,84,0,0,234613,7,72,Droite,24,20800,4.8,6.3,1760,324,42,1135.56861789415,1635,0.7,6,3,71.3889968074864,43,-2.22279907455348,-0.928968898560305,0
Loiret,41,oui,24,41,183,691942,1,57,Droite,19.9,21960,8.2,7.6,6177,1408,37,961.95802941576,20784,3,5,2,37.0513865330117,45,1.81998173401413,-0.903880912021987,1
Lot,4,oui,76,0,4,179390,4,64,Gauche,29.4,20740,6.5,7.9,1714,546,31,1297.77479998885,1459,0.8,5,3,80.9591394636588,46,-2.82338453083911,-0.071162345483241,1
Lot-et-Garonne,0,non,75,0,0,342358,3,69,Gauche,26.1,19930,5.3,7.9,3060,394,33,1169.0974605822,3963,1.2,5,3,59.2447691122274,47,-2.00231909201207,0.554785813019645,0
Manche,50,oui,28,50,35,516010,7,71,Droite,24.5,20980,5.1,6,3292,1277,14,1048.9671840662,4013,0.8,5,3,67.5420571844881,50,-1.18378109028341,-1.01875752994166,0
Marne,0,non,44,0,0,584108,4,62,Droite,19.3,21650,7.7,7.5,5259,1666,8,852.911378409472,31297,5.4,6,2,38.6541947241512,51,2.28593075930425,-0.950372421384132,1
Haute-Marne,0,non,44,0,0,183720,8,45,Droite,24.5,20190,3.8,6.9,1003,301,51,1188.076287285,1095,0.6,6,3,67.2804032909635,52,-2.75765538514135,-1.07149503322885,0
Meurthe-et-Moselle,16,oui,44,16,1,747614,3,45,Gauche,19.2,21480,8.3,7.6,6520,1037,57,990.209472388158,53730,7.2,4,2,25.7222716003181,54,3.16996946948576,-0.917804395300509,1
Meuse,0,non,44,0,0,195047,7,73,Droite,22.4,20590,3.9,7.3,978,240,54,1253.51579106574,1068,0.5,6,3,74.2219421136683,55,-2.65445676005378,-0.178787449194064,0
Morbihan,17,oui,53,0,17,769772,8,67,Droite,24.1,21600,6.7,6.9,6445,1876,35,889.427039097291,16900,2.2,5,3,58.2295305535098,56,0.862309211066402,-0.93162277439115,1
Moselle,20,oui,44,20,0,1064905,3,67,Droite,19.4,21650,7.1,7.7,8136,1795,54,819.251328512872,27390,2.6,4,2,33.1074972301339,57,2.6425791126963,-0.307022154388571,1
Nièvre,38,oui,27,38,2,216182,7,71,Gauche,29,20320,4.5,6.5,1321,391,18,1436.22346624603,2314,1.1,6,3,63.97401394797,58,-3.08760285531498,0.144021612016138,0
Orne,0,non,28,0,0,294421,4,63,Droite,25.7,20140,4.3,7.4,1828,328,14,1179.77169488589,2943,1,6,3,72.8649972474345,61,-2.57574068695587,-0.213700359590912,0
Pas-de-Calais,0,non,32,0,0,1494330,3,69,Gauche,18.5,19200,4.5,9.4,9924,2555,59,1147.33646788862,30283,2,4,2,23.8750545555905,62,2.22516341468273,2.92939223381928,0
Puy-de-Dôme,24,oui,84,24,0,667365,7,71,Gauche,21.5,21890,9.4,6.9,6315,1910,3,1070.58138667746,41486,6.2,6,2,41.9303054510418,63,2.64417718288873,-0.571077117102195,1
Pyrénées-Atlantiques,7,oui,75,7,0,694279,7,77,Droite,23.8,21850,9.7,6.7,8236,2683,40,1029.93620854152,19869,2.9,5,2,33.492772441413,64,2.2071016621035,-0.152983098806572,1
Hautes-Pyrénées,39,oui,76,39,39,235131,7,75,Gauche,26.6,20420,6.2,9.2,2463,2789,31,1536.07363206043,5525,2.3,6,2,44.9990372082,65,-1.18125677787156,2.28012463708705,1
Haut-Rhin,0,non,44,0,0,777734,3,65,Droite,19.5,23130,7.5,8,6821,2975,67,901.499978861667,14343,1.8,4,2,25.5903520485943,68,2.70735712320474,-0.701933711021262,1
Haute-Saône,0,non,27,0,0,244305,7,72,Gauche,22.7,20680,4.5,7.1,1624,142,25,1136.41220282025,1052,0.4,4,3,71.4165378573143,70,-2.29233187023925,-0.514644243951736,0
Saône-et-Loire,14,oui,27,14,63,572527,2,55,sans étiquette,25.5,20850,5.4,7,4434,1453,21,1078.90691942913,5056,0.9,5,3,56.6662574535251,71,-0.856571505792783,-0.666369399722322,0
Sarthe,1,oui,52,1,0,582211,3,62,Droite,21.7,21040,5.6,8.1,3761,894,49,1014.90942357668,14531,2.5,5,3,56.4431161278087,72,-0.114730805064704,-0.31248716756118,0
Savoie,7,oui,84,7,5,442775,3,61,Droite,20.4,23160,8.8,6.4,6076,3499,38,1216.77561709672,13219,3,5,2,38.5519891546984,73,2.05177706366563,-1.31605785684438,1
Deux-Sèvres,1,oui,75,0,1,385495,3,72,Droite,23.2,20840,5.5,5.9,2481,455,86,966.230763771255,2764,0.7,5,3,67.9080231908684,79,-1.44475957229663,-1.35805086396039,0
Somme,1,oui,32,0,1,584797,3,63,Droite,19.7,20320,6.3,9.3,4290,933,60,1080.16218132104,31333,5.4,3,2,44.1268855305602,80,0.965081301466634,0.894645845788906,1
Tarn,0,non,76,0,0,397929,3,47,Gauche,25,20400,6.5,8.1,4103,492,31,1203.96776030397,7513,1.9,4,2,43.7294085199208,81,-1.00608402545907,4.56298061802283e-05,1
Tarn-et-Garonne,0,non,76,0,0,263125,7,71,sans étiquette,22.1,20140,5.7,9,2704,327,31,1283.45355462233,1695,0.6,6,3,51.449904279685,82,-1.78171821296627,1.2459860025561,1
Var,9,oui,93,9,0,1073201,7,70,Droite,25.8,21590,8,8.5,16786,3676,13,1109.38483907488,16369,1.5,5,1,13.9811245069418,83,3.09015330419953,1.77917129604701,1
Vaucluse,21,oui,93,21,0,570921,7,77,Droite,22,19880,7.7,10.2,7875,2223,13,1144.48424291627,10967,1.9,5,2,25.6373724440306,84,0.915234468194657,2.76331040066652,1
Vendée,0,non,52,0,0,689496,7,67,Droite,24.1,21320,4.5,6.5,5526,1546,44,960.811725144163,6631,1,5,3,63.6554452364625,85,-0.423083420267968,-0.992111292961442,0
Vienne,1,oui,75,0,1,447026,3,59,Droite,21.8,20900,7.9,6.5,3822,1685,79,1002.88024745764,29232,6.5,6,3,60.1404059733197,86,1.13790583608604,-1.25114071144554,1
Haute-Vienne,0,non,75,0,0,383215,4,68,Gauche,24.5,20860,7.3,7.3,3263,706,19,1105.94799786021,19901,5.2,3,3,50.1201150758418,87,0.0384792762691377,-0.306657741921081,1
Vosges,0,non,44,0,0,382328,8,58,Droite,23.7,20240,4.4,8.4,2750,940,54,1182.27554107991,3693,1,6,3,67.5679932651703,88,-1.8642043237408,0.253380036933982,0
Yonne,0,non,27,0,0,350970,7,69,Droite,24.1,20800,5,7.2,2749,725,21,1089.8823032168,2057,0.6,6,3,67.2130469465536,89,-1.72121607449209,-0.472923193791434,0
Territoire de Belfort,0,non,27,0,0,147347,3,44,Droite,19.6,21860,9.1,8.9,1354,310,25,1057.26233998656,5617,3.8,3,1,22.7541598411386,90,0.592691896605536,-0.871918046970835,1
Essonne,0,non,11,0,0,1305061,3,50,Droite,15,23920,13.5,6.7,19626,2049,77,1107.93713630244,46606,3.6,3,1,5.37627111718212,91,6.58294979887526,-1.15133649659628,1
Val-d'Oise,0,non,11,0,0,1237218,7,75,Droite,13.5,21970,10.8,8.5,20790,4080,60,990.39290963274,33417,2.7,3,1,3.5526184831054,95,6.27982662608644,1.61674678039792,1
