siren,nom,parti_politique,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,long,merge,depcode,nom_upper,part_plus65,niveau_vie,part_diplomes,taux_chomage,nb_crea_entps,nb_nuitees_hotels,flux_migration_res,depenses_hab,part_etudiants,Mode
220100010,Ain,Les Républicains,DEP,ARA-84,http://departement-ain.opendata.arcgis.com/datasets?source=D%C3%A9partement%20de%20l%27Ain,39,https://www.data.gouv.fr/fr/organizations/5851009688ee3870fbc65bb3,12,5851009688ee3870fbc65bb3,,653688,,,ptf+datagouv,1,AIN,17.3,23420,8.5,6.1,6546,1311,69,979.300259611613,0.5,rural autonome peu dense
220400014,Alpes-de-Haute-Provence,Parti socialiste,DEP,PAC-93,https://trouver.datasud.fr/organization/conseil-departemental-des-alpes-de-haute-provence,34,,,,,161980,,,ptf,4,ALPES-DE-HAUTE-PROVENCE,25.4,20580,7.4,10.3,1847,764,13,1367.55652682408,0.6,urbain densité intermédiaire
220600019,Alpes-Maritimes,Union pour un mouvement populaire,DEP,PAC-93,https://data.departement06.fr,24,https://www.data.gouv.fr/fr/organizations/5e00c7456f444104766e92d6/,24,5e00c7456f444104766e92d6,,1083704,,,ptf+datagouv,6,ALPES-MARITIMES,24.2,22140,11.6,8.9,21957,9062,83,1139.86256353211,4.3,urbain dense
220700017,Ardèche,Parti socialiste,DEP,ARA-84,https://opendata.ardeche.fr/search/type/dataset,17,,,,,327011,,,ptf,7,ARDECHE,24.1,20780,5.6,9.3,3237,612,26,1220.61477813211,0.4,rural autonome très peu dense
220900013,Ariège,Parti socialiste,DEP,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5a90060ec751df1402f350d8/,1,5a90060ec751df1402f350d8,,152340,,,datagouv,9,ARIEGE,25.4,19820,5.6,10.7,1670,258,31,1408.14581290098,0.6,
221000052,Aube,Les Républicains,DEP,GES-44,,,https://www.data.gouv.fr/fr/organizations/5a216283c751df6333108428/,1,5a216283c751df6333108428,,309117,,,datagouv,10,AUBE,20.9,20430,5.2,10.6,2637,763,51,1157.46973885087,3.1,
221100019,Aude,Parti socialiste,DEP,OCC-76,https://opendata.aude.fr/explore/?sort=modified&refine.publisher=D%C3%A9partement+de+l%27Aude,23,,,,Département de l'Aude,370260,,,ptf,11,AUDE,25.2,19240,6,11.4,4001,1111,31,1495.75159280153,0.9,urbain densité intermédiaire
226700011,Bas-Rhin,Union pour un mouvement populaire,DEP,GES-44,,,https://www.data.gouv.fr/fr/organizations/5abcf3c688ee386e18f7f79c/,100,5abcf3c688ee386e18f7f79c,,1120000,,,datagouv,67,BAS-RHIN,17.8,22620,10.3,7.1,11647,4437,68,944.430005187587,6.1,
221401185,Calvados,Union pour la démocratie française,DEP,NOR-28,,,https://www.data.gouv.fr/fr/organizations/departement-du-calvados/,23,5bd96f848b4c415ecb7a9a8b,,694002,,,datagouv,14,CALVADOS,20.7,21490,7.7,7.7,7243,3556,50,1019.53689444354,5.3,urbain dense
221500010,Cantal,Union pour un mouvement populaire,DEP,ARA-84,,,https://www.data.gouv.fr/fr/organizations/534fff69a3a7292c64a77d94,5,534fff69a3a7292c64a77d94,,143627,,,datagouv,15,CANTAL,27.3,20510,4.2,5,860,445,63,1500.87776367774,1,
