"nom","type","nb_publi","ouvre_data","code_region","code_departement","nb_ptf","nb_datagouv","pop_insee","CSP_chef","age_chef","partis_po_chef","part_plus65","nb_crea_entps","flux_migration_res","niveau_vie","part_diplomes","depenses_hab"
"Bordeaux Métropole","MET",187,1,75,33,187,73,796273,"Médecins",69,"Les républicains",16.3,15999,200054781,22760,16.4,1816.19012107657
"Boucle Nord de Seine","EPT",0,0,11,92,0,0,445459,NA,NA,NA,NA,NA,NA,NA,NA,163.784470692028
"Brest Métropole","MET",210,1,53,29,210,5,213880,"Autres professions",66,"Parti socialiste",17.8,1826,242900074,21660,12.2,1726.09019113522
"CA Alès Agglomération","CA",0,0,76,30,0,0,132220,NA,NA,NA,25.2,1372,243000643,18670,5.3,959.369896082287
"CA Amiens Métropole","CA",0,0,32,80,0,0,183911,"Autres professions",70,"Les Républicains",15.8,2078,200054781,20320,11.7,2421.10217675941
"CA Annemasse-les Voirons-Agglomération","CA",1,1,84,74,0,1,90702,"Retraités de l'enseignement",75,"Parti socialiste",14.2,1305,200067551,26140,9.6,1348.9395745408
"CA Annonay Rhône Agglo","CA",0,0,84,7,0,0,49955,"Fonctionnaires de catégorie B",43,NA,21.8,426,200040491,21300,5.1,868.672249224302
"CA Ardenne Métropole","CA",10,1,44,8,10,0,126950,"Grands corps de l'état",45,NA,20.9,875,200067213,19320,4.7,782.661329342261
"CA Arlysère","CA",0,0,84,73,0,0,62785,"Cadres supérieurs (secteur privé)",66,NA,20.8,720,200041010,22400,5.6,1048.80219718086
"CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS)","CA",0,0,75,33,0,0,67244,"Avocats",71,"Union pour un mouvement populaire",30.7,1068,243300316,23380,8.7,1247.09767191125
"CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS)","CA",0,0,75,33,0,0,67244,"Avocats",71,"Rassemblement pour la République",30.7,1068,243300316,23380,8.7,1247.09767191125
"CA Bergeracoise","CA",0,0,75,24,0,0,62830,NA,NA,NA,27.4,636,243300316,20100,5.5,817.791409517746
"CA Bourges Plus","CA",30,1,24,18,30,0,106729,"Ingénieurs",61,"Union des démocrates et indépendants",22.8,894,200066330,21670,8.4,785.901371136242
"CA Cannes Pays de Lérins","CA",1,1,93,6,0,1,160385,"Industriels-Chefs entreprise",52,"Union pour un mouvement populaire",28.3,3510,200039857,21590,9.8,912.508262867475
"CA Cannes Pays de Lérins","CA",1,1,93,6,0,1,160385,"Industriels-Chefs entreprise",52,"Libres",28.3,3510,200039857,21590,9.8,912.508262867475
"CA Carcassonne Agglo","CA",0,0,76,11,0,0,114651,"Fonctionnaires de catégorie B",58,NA,23.3,1178,243100518,19280,6.4,809.116328422779
"CA Caux Seine Agglo","CA",149,1,28,76,149,0,78505,"Retraités des professions libérales",78,NA,18.2,432,200084952,21330,3.8,1078.31621374435
"CA Chartres Métropole","CA",0,0,24,28,0,0,140716,NA,NA,NA,19.1,1295,200054781,22860,8,1298.63759615111
"CA Châteauroux Métropole","CA",63,1,24,36,63,79,76223,"Fonctionnaires de catégorie A",48,NA,22.7,593,243600301,20690,5.3,1033.186997363
"CA Chauny-Tergnier-La Fère","CA",0,0,32,2,0,0,57077,"Retraités de l'enseignement",68,NA,20.1,338,200071892,19070,3,455.242689349475
"CA Clisson Sèvre et Maine Agglo","CA",0,0,52,44,0,0,55686,"Employés (secteur privé)",60,NA,15.9,463,244400404,23110,6.8,527.19263064325
"CA Cœur d'Essonne Agglomération","CA",1,1,11,91,0,1,199132,"Enseignants 1er deg.-directeurs école",59,NA,14.3,2656,200054781,23930,10.1,714.911624349678
"CA Colmar Agglomération","CA",2,1,44,68,0,2,116814,NA,NA,NA,19.5,1056,246700488,22150,9.4,539.925938414916
"CA Communauté Paris-Saclay","CA",61,1,11,91,61,0,318308,"Industriels-Chefs entreprise",65,NA,15,5078,200054781,26460,21.5,469.615254659009
"CA Concarneau Cornouaille Agglomération","CA",0,0,53,29,0,0,51698,"Retraités des professions libérales",74,NA,27.1,390,200068120,21720,5.6,813.836101396572
