nom,nom_minimise,SIREN,code_region,code_departement
Bordeaux Métropole,MET BORDEAUX METROPOLE,243300316,75,33
Boucle Nord de Seine,BOUCLE NORD DE SEINE,200057990,11,92
Brest Métropole,MET BREST METROPOLE,242900314,53,29
CA Alès Agglomération,CA ALES AGGLOMERATION,200066918,76,30
CA Amiens Métropole,CA AMIENS METROPOLE,248000531,32,80
CA Annemasse-les Voirons-Agglomération,CA ANNEMASSE-LES VOIRONS-AGGLOMERATION,200011773,84,74
CA Annonay Rhône Agglo,CA ANNONAY RHONE AGGLO,200072015,84,07
CA Arche Agglo,CA ARCHE AGGLO,200073096,84,"07,26"
CA Ardenne Métropole,CA ARDENNE METROPOLE,200041630,44,08
CA Arlysère,CA ARLYSERE,200068997,84,73
CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS),CA COBAS POLE ATLANTIQUE,243300563,75,33
"CA Beaune,Côte et Sud - Communauté Beaune-Chagny-Nolay",CA BEAUNE COTE ET SUD,200006682,27,"21,71"
CA Bergeracoise,COMMUNAUTE D AGGLOMERATION BERGERACOISE,200070647,75,24
CA Bourges Plus,CA BOURGES PLUS,241800507,24,18
CA Cannes Pays de Lérins,CA DES PAYS DE LERINS,200039915,93,06
CA Cap Excellence,CA CAP EXCELLENCE,200018653,01,971
CA Carcassonne Agglo,CA CARCASSONNE AGGLO,200035715,76,11
CA Caux Seine Agglo,CA CAUX SEINE AGGLO,200010700,28,76
CA Chartres Métropole,CA CHARTRES METROPOLE,200033181,24,28
CA Châteauroux Métropole,CA CHATEAUROUX METROPOLE,243600327,24,36
CA Chauny-Tergnier-La Fère,CA CHAUNY TERGNIER LA FERE,200071785,32,02
CA CIVIS (Communauté Intercommunale des VIlles Solidaires),CA DES VILLES SOLIDAIRES,249740077,04,974
CA Clisson Sèvre et Maine Agglo,CA CLISSON SEVRE ET MAINE AGGLO (CSMA),200067635,52,44
CA Cœur d'Essonne Agglomération,CA COEUR D'ESSONNE AGGLOMERATION,200057859,11,91
CA Colmar Agglomération,CA COLMAR AGGLOMERATION,246800726,44,68
CA Communauté Paris-Saclay,CA COMMUNAUTE PARIS-SACLAY,200056232,11,91
CA Concarneau Cornouaille Agglomération,CA CONCARNEAU CORNOUAILLE,242900769,53,29
CA Coulommiers Pays de Brie,CA COULOMMIERS PAYS DE BRIE - CA CPB,200090504,11,77
CA Creil Sud Oise,CA AGGLOMERATION CREIL SUD OISE,200068047,32,60
CA d'Agen,AGGLOMERATION D'AGEN,200035459,75,47
CA d'Arles-Crau-Camargue-Montagnette,CA ARLES CRAU CAMARGUE MONTAGNETTE,241300417,93,13
CA d'Épinal,CA EPINAL,200068757,44,88
CA d'Hénin-Carvin,CA HENIN CARVIN,246200299,32,62
CA de Bar-le-Duc - Sud Meuse,CA BAR-LE-DUC-SUD MEUSE,200033025,44,55
CA de Bastia,CA DE BASTIA,242000354,94,2B
"CA de Béthune-Bruay,Artois-Lys Romane",CA BETHUNE-BRUAY ARTOIS-LYS ROMANE,200072460,32,62
CA de Béziers-Méditerranée,CA BEZIERS MEDITERRANEE,243400769,76,34
CA de Blois Agglopolys,CA BLOIS AGGLOPOLYS,200030385,24,41
CA de Cambrai,CA CAMBRAI 2017,200068500,32,59
CA de Castres Mazamet,CA CASTRES-MAZAMET (CACM),248100430,76,81
CA de Cergy-Pontoise,CA CERGY-PONTOISE,249500109,11,"78,95"
CA de Châlons-en-Champagne,CA CHALONS-EN-CHAMPAGNE,200066876,44,51
CA de Chaumont,CA DE CHAUMONT,200068658,44,52
CA de Forbach Porte de France,CA FORBACH PORTE DE FRANCE,245700372,44,57
CA de Haguenau,CA HAGUENAU,200067874,44,67
