nom,nom_minimise,COG,SIREN
Guadeloupe,REG GUADELOUPE,01,239710015
Martinique,CTU COLL TERRITORIALE MARTINIQUE,02,200055507
Guyane,CTU COLLECTIVITE TERRITORIALE GUYANE,03,200052678
La Réunion,REG REUNION,04,239740012
Île-de-France,REG ILE-DE-FRANCE,11,237500079
Centre-Val de Loire,REG CENTRE-VAL DE LOIRE,24,234500023
Bourgogne-Franche-Comté,REGION BOURGOGNE FRANCHE COMTE,27,200053726
Normandie,REG NORMANDIE,28,200053403
Hauts-de-France,REG HAUTS DE FRANCE,32,200053742
Grand Est,REG GRAND-EST,44,200052264
Pays de la Loire,REG PAYS-DE-LA-LOIRE,52,234400034
Bretagne,REG BRETAGNE,53,233500016
Nouvelle-Aquitaine,REG NOUVELLE AQUITAINE,75,200053759
Occitanie,REG OCCITANIE,76,200053791
Auvergne-Rhône-Alpes,REG AUVERGNE-RHONE-ALPES,84,200053767
Provence-Alpes-Côte d'Azur,REG PROVENCE-ALPES-COTE-D'AZUR,93,231300021
Corse,CTU COLLECTIVITE DE CORSE,94,200076958
